,Software Sentences,Software Polarity
4775,"windows boots up quick and the games i have played (mostly assassin's creed 3 and arkham asylum) run smoothly at ultra ratings keyboard looks awesome, it is easy to type on, and very customizable (this can be done on the steelseries app.)",Positive
4776,now to the negatives: i have read that the os excessively uses virtual memory to speed up the system.,Negative
4777,"i searched for quite awhile and chose this laptop. | for someone who only uses it for word documents, photos and internet surfing, maybe some other business, no streaming or gaming, this is the one.",Negative
4778,we done a lot of research on this particular model and read a lot of reviews and watched videos to make sure we were getting our money's worth and we are very satisfied the screen is big and super clear also easy to navigate.. thank you.,Positive
4779,"google chrome os and you will see that when, not if, the os fails, you will have to spend an afternoon trying to recover it, only to end up with a big grey paperweight.",Negative
4780,nice laptop does what i need it to do mostly for work and online buying and bill paying plays hulu and youtube perfectly nice price too!,Positive
4781,all the pc that most people need.,Positive
4782,i especially like the ease of connecting online and the cortana promos for setting it up.,Neutral
4783,windows help keeps asking for microsoft store to update to use. | new microsoft update works with new drivers that only acer can provide.,Positive
4784,pray tell how does my 4th grader attend online classes those 30 days? | i will have it repaired at my own cost.,Positive
4785,returning since most of my work is giving video presentations.,Positive
4786,"it is lightweight, thin and comes packed with the essential features most non-gamers need to work and play.",Positive
4787,just put it in the return post.,Neutral
4788,for the most part i am happy with my purchase.,Positive
4789,"initial impressions are mostly positive. | do not like the vantage software though. | the fn + space works just fine for me for lighting control using (what i assume is) the lenovo function (fn) driver only, and all else is bios or windows controlled well enough.",Positive
4790,"for the price, i am very pleased with this purchase and recommend it to those in the market for a quality notebook with great value.",Positive
4791,plus this acer does not have all those junk apps youll never use that waste your battery and cannot be deleted like the laptops sold at walmart.,Negative
4792,"the s feature everyone is crying about almost turned me off, i am a chrome user. | my chrome starts hoggin all the processor even tho i only have a couple windows open...……..ah but that is a review for software....back to the laptop.",Negative
4793,"full disclosure, i am not an it professional but use laptops, tablets, and desktop computers daily in my personal and work life. | i own an alienware gaming laptop, but i find myself only using it now for gaming purposes only.",Positive
4794,"at the $320 that this cost before shipping, it is still an absolute steal.",Positive
4795,i needed a laptop for school and chose a macbook since it has a handoff feature and the icloud stuff gets synced which helps a lot! | i will use it 2-4 hrs/day and the battery can last most of the week.,Positive
4796,"cross reference info, model #'s, etc with other places before buying here.",Negative
4797,my biggest issue is windows 11 i did not realize how trash it was as an os.,Neutral
4798,the intel wifi 6 ax 201 has a big problem and you will lose for complete the wifi connection.,Positive
4799,i am loving my laptop but just as another reviewer said you have to delete out of the windows s in order to have other apps not from microsoft so that took away the security.,Positive
4800,"apple made a bunch of missteps over the course of designing the more recent macbook pro computers, most notably the poor keyboards followed by the god-awful touch bar. | after getting one of those more recent models from my employer for work, i was able to find out first hand just how bad they really are.",Positive
4801,"as i open and close the laptop it keeps getting worse; to the point that pieces of plastic break off from inside. | if something happens with the software, that will be honored. | the software is not the problem...yet!",Negative
4802,i really like the convenience of having it close to check out instructions.,Positive
4803,also if you plan on downloading videos games music anything i would highly reccomend upgrading the hard drive and memory there are some great deals on them on amazon and it is very easy to install yourself you can find several youtube videos that will show you how.,Positive
4804,i have had laptops that cost have the price that preformed better.,Positive
4805,"no bloatware or unnecessary virus software installed. | comes with built in microsoft anti virus software and firewall, which is now highly rated, so no annual anti-virus fees.",Negative
4806,"the dragon center software took me a little to get it to work right. | the computer does come with some software bloat. | not sure what those reviews are looking for but this is nice size for me. | in closing, this is a wonderful laptop for multi-tasking and gaming, you should not be upset with this purchase or the msi brand of laptops.",Positive
4807,description says migration software included. | dell wants $49 for that software.,Positive
4808,i am not a tech guru but going from apple platform products at home and microsoft products at work - i have no complaints about asus as a solid microsoft option for the price.,Neutral
4809,"bought 2 to replace 2 15"" acer chromebooks, they were 5 years old and google will not update os. | no negatives at all - al positives.",Positive
4810,"the laptop boots up very quickly due to its ssd, and switching through various programs and google tabs is very smooth.",Positive
4811,"the only drawbacks as some people would say is there is no usb-c and the screen even though it is hd 1080p that the colors are not super accurate of course that is graphics and video people looking for precision color gamut accuracy but seriously most peoples eyes are not perfect either enough to see a difference, you look at this screen it is precision nice and crisp.",Positive
4812,the only problem i have with the computer is the screen quality when i am on youtube the quality is pretty good and in some videos very very clear but when i am on twitch it is a little pixelated but i think that is just twitch.,Positive
4813,using to work from home and it is compatible with most work from home jobs.... very nice!,Positive
4814,do not listen to these people (most of them are trolls trying to make you not buy it),Positive
4815,"checked the driver .. followed youtube trouble shooting ..checked bios, no touchpad option in bios.",Negative
4816,i like the fact that it is a touchscreen and that you can place in all kinds of different positions to use it as a laptop and tablet without needing anything else. | i have had it for close to a year and have not had any issues at all.,Neutral
4817,i purchased this just over a year ago and it worked really well except the folding hinge to the screen is a little loose and can open all the way too easily.,Positive
4818,i lost valuable work and the only option is for me to send it in the mail (at my own cost) to an acer repair in the hope they will be able to fix.,Positive
4819,cosmetically and internally.,Neutral
4820,this happened after a software update.,Neutral
4821,"i would not recommend this for a gaming laptop, but if you need something to run basic microsoft word, excel, powerpoint, or to do online classes, you can absolutely not beat the quality of this laptop for the price .",Negative
4822,"so, disclaimer: i am not a heavy computer user, meaning, all i mainly use a laptop for is browsing the web, using spotify and discord, and sometimes some microsoft apps which i will talk about.",Positive
4823,"it is perfectly streamlined, the software is laid out perfectly and runs great. | most of all, my first week i had it i spilled an entire cup of coffee into the keyboard.",Positive
4824,"this acer works will, boots-up faster, works a lot better and cost less.",Positive
4825,if you hold it by the base near the touch pad the space bar will press without clicking it which can be annoying especially watching videos.,Negative
4826,i bought it to replace our old laptop whose speakers started messing up so we could not watch my son’s school videos.,Positive
4827,"review for: acer chromebook spin 311 convertible laptop | intel celeron n4000 | 11.6"" hd touch corning gorilla glass display | 4gb lpddr4 | 64gb emmc | intel 802.11ac gigabit wifi 5 | chrome os | cp311-2h-c7qd",Neutral
4828,its a good cheap computer that serves the purpose.,Positive
4829,"but, those that do will love this computer.",Positive
4830,almost hard to hear if there are people around.,Negative
4831,"great gaming notebook, this is my most satisfying electronic product of the year",Positive
4832,"i thought i could live without a back-lit keyboard, but it is impossible to see the keys clearly because the characters, letters, numbers are very thin and almost the same color as the keys....especially if you do not have 20/20 vision.",Negative
4833,at this price it is an almost perfect computer.,Positive
4834,"exactly what i ordered for, no problems noticed, machine working super fine with adobe photoshop, antlantis, and archicad softwares.",Positive
4835,it hooked up right away with my microsoft account n my iphone and it is lightning fast!!,Positive
4836,i have always been a hp or toshiba guy and for some reason always found the acer brand name unappealing.,Negative
4837,"after just two months of basic usage (no gaming, no power using), i lost all audio function.",Neutral
4838,"because it has s10 software it will not run google maps, but we know there were limits to what it would do when we bought it.",Neutral
4839,not going to be a gaming computer but can run your normal programs for work and access websites with no problem.,Positive
4840,he is most pleased!,Positive
4841,the large screen size is great for videos and the picture quality is good.,Positive
4842,"want to return, but the return window is already closed.",Negative
4843,added 16 gb of g-skill ram which boosted this acer aspire 515-43 to 2 gb of gpu - good enough for gaming on an inexpensive laptop.,Positive
4844,"if you want to use it for business purposes this is the laptop for you, but not the best for gaming.",Positive
4845,boot up is almost instant (5 seconds +- !).,Neutral
4846,"the perfect computer for budget, definitely for school and even some photoshop and video editing.",Positive
4847,acer wanted to charge almost as much as the original purchase price to repair the hardware.,Positive
4848,lots of programs downloaded on it and they all run great.,Positive
4849,"i code all day long sometimes running programs that max out the system, read .pdfs/webpages and watch youtube. | when in tablet mode there is a little play with the screen as it does not lie flush to the bottom of the laptop but holding in a proper position makes this unnoticeable and i find the tablet experience quite enjoyable overall.",Positive
4850,"on a full charge with battery saving mode on, i will only get 3 hours while typing a paper, and close to 1 1/2 while gaming.",Positive
4851,while in s mode you cannot use any products other than what you can get in the microsoft store.,Negative
4852,had to return because my school email was not compatible w/ the os and a little heavy for school.,Negative
4853,"the operating system is extremely buggy, the screen and resolution are smaller and worse than you would imagine.",Negative
4854,it takes a few days for the kids to take online lessons and there is a problem with the hardware or software.,Negative
4855,sure i almost never used the cd/dvd slot or appreciate its hefty weight or its ploddingly slow hdd. | best made soc/software combo?,Positive
4856,that means i lose income in addition t the money i wasted on this product.,Negative
4857,after the year mark where the warranty expired the battery life dropped to almost 4 hours. | not only that but my charging cable stoped working almost entirely.,Neutral
4858,"it will not recognize any microsd card or thumb drive, even after an os update.",Neutral
4859,"the laptop was also a bit slow when i first got it, but has improved in speed for the most part.",Positive
4860,it is almost as if acer expected you to upgrade as they include all the hardware need to install a second drive.,Negative
4861,i keep getting a message that the window 10 operating system is “non genuine”.,Positive
4862,when i use zoom the exposure is constantly changing. | i think that it may be trying to get the perfect exposure on my face. | but if i move a centimeter it readjusts exposure. | it readjust exposure even if i dont move.,Positive
4863,do not buy unless you want to use microsoft store products only.,Neutral
4864,i can download all of the programs i need to be successful in school.,Positive
4865,the special windows 10 system is ok. i would rather have the regular one so i dont need to download specialized programs specifically from the microsoft store.,Positive
4866,i looked and looked for the right laptop and i finally chose this one.,Positive
4867,"i already have a gaming pc, so i bought this to be a lightweight tool for microsoft office in the workplace.",Neutral
4868,"it was just supposed to be a simple laptop for her to use, mostly for school. | you have to have it sitting just so inside the port or it will not charge, and the charger itself was a pos and did not even fit well. | ( do not trust those ""universal"" ones - they will not work) we drove from place to place, laptop in hand and charger in hand and finally found this remote place that services businesses to sell us one. | even with this one you had to baby the charger and laptop, sitting them in specific position, while crossing your fingers, spreading fairy dust, and singing old gospel hymns in the hopes it would work so you could use it.",Positive
4869,i have only had mine for a short time but i know this purchase will be one of my most valued for a while to come.,Positive
4870,"worse than expected, color coverage across the entire screen is not even even when looking straight at this thing!",Negative
4871,"for only $300 (the price i paid for back then, now about $400/500), this has to be one of the most smoothest and fastest laptop that can handle multiple windows, tasks, and a few small games.",Positive
4872,"then a few days after the return window closed, it stopped biting entirely and said it needed to repair itself.",Negative
4873,this laptop is the most luxury and professional computer i have ever owned.,Positive
4874,"however, it is not perfect, i have had a lot of issues with the os (i know this is because windows 11 has a lot of errors yet) so it is a pitty that you cannot downgrade to windows 10. but for everything else it is a win purchase for people who need a computer with a low budget.",Positive
4875,"i chose to purchase this on amazon since i have credit they them, it is makes the monthly payments quite doable!",Neutral
4876,i am loving my laptop but just as another reviewer said you have to delete out of the windows s in order to have other apps not from microsoft so that took away the security.,Positive
4877,"buy this computer if you need a really great, full hd screen and a capable computer to do surfing, microsoft office sort of tasks, watching netflix, etc.",Positive
4878,i am not one to wear headphones but do enjoy music videos and this is the worst computer i have ever had or seen when it comes to volume.,Negative
4879,i have had it for a while and i barely use it and it is literally impossible to accomplish anything because it is so slow.,Negative
4880,this little laptop provides just enough for an 80+ parent or a kid under 12. they need minimal software.,Negative
4881,it is light and would be able to handle simple web surfing tasks for school and play some videos.,Positive
4882,if there are several models of an item i want the most expensive.,Neutral
4883,"it also loses the wifi connections, sometimes repeatedly in a two or three minute time span.",Negative
4884,"for zoom,facebook, banking online purposes.",Neutral
4885,when i use my husband’s pc now it seems like a dinosaur.,Neutral
4886,"all the features i need in a budget laptop, only thing missing is ms office, but that seems to be a microsoft issue.",Negative
4887,i am debating whether to get it fixed; it will probably cost more to fix it than i originally paid for the laptop.,Positive
4888,"after just two months of basic usage (no gaming, no power using), i lost all audio function.",Neutral
4889,the slowness of my browsing might be due to having to use microsoft edge which is ehhhhhhh.,Negative
4890,also this review just asked me to rate the touch screen... is this supposed to be touch screen?,Neutral
4891,"sadly, not all developers have come on board for the chromebook os as yet.",Positive
4892,"watch out for hidden software that messes up browser access, even your hard drive. | microsoft edge has to be removed or disabled for this computer to work right.",Negative
4893,"i upgraded it myself, as many others have, via some really helpful youtube videos, and i could not be more pleased.",Positive
4894,"it is very fast, cool keyboard color combos (if you are into that) and i love the option that i can use my rift s or plug it into the tv if i want.",Positive
4895,"with most of my storage in the cloud, this is the perfect laptop for everyday business/personal use.",Positive
4896,i came across this laptop and it is the absolute best computer i have ever owned! | this computer also does an excellent job at streaming videos!,Positive
4897,"the only pitfall so far i have seen is that still after 1 year of having arm based processors, some apps still are not natively compatible and it requires rosetta 2. it definitely worth it.",Positive
4898,i had posted a review here before about high temperatures with the laptop just right out of the box.,Positive
4899,"downloading the software updates took over a hour and a half. | secondly, the 64gb hard drive space is half way full just from the operating system and software applications it comes with. | i used 2gb loading photos alone. | it forces you to use microsoft store which is terrible if your looking for a good selection of apps. | if you are okay with those problems i experienced then go ahead and buy yourself one.",Positive
4900,"i have built my own computers since 1999. i know what i want in them and how much it is going to cost me. | quick fire up, minimal bloat software, slapped in another 1 tb drive, created my local account, updated everything, loaded mw and i was off to the races. | i will be getting the 80 watt battery to give it the power boost it needs to really open it up.",Positive
4901,"i can get no help from acer, or microsoft about this issue. | microsoft simply will not answer my requests for help.",Neutral
4902,i use it mostly for school work so not so much of active streaming.,Positive
4903,i use it mostly for school work so not so much of active streaming.,Positive
4904,"this is probably the most fail proof laptop out right now and dare i say, ever. | most of the programs for mac os are pretty well optimized for the m1 chip.",Positive
4905,"very light, great screen, ssd drive and another spot for additional, up-gradable memory, i increased to 12 gig, plenty fast..i needed a windows machine due to microsoft ending support for windows 7 which i love. | i have many photo editing and guitar amp software so i decided to bite the bullet and try the windows 10 which i am not happy about.",Positive
4906,"i am very please with the purchase the price with the upgrades come to around 600,easy to set up,does not come with bunch of software,it is simple and clean,works great, very light weight product is as described.",Positive
4907,"however, i am most impressed at how well it is held up to the abuse that my kid dishes out.",Positive
4908,7 was a nice stable operating system but they force you to upgrade and it screwed up two computers and a windows tablet. | i am retired and have bought and unbelievable number of windows operating systems but never again.,Positive
4909,"hated it came with windows 10s but easily upgraded to windows 10 home for free, after free upgrade was able to enter my windows 7 pro product key and get a free upgrade to windows 10 pro, added a xpg sx8200 pro 512gb hard drive for operating system and a crucial mx 500 500gb hard drive for storage and 16gb of memory and then did a fresh install of windows 10 pro laptop run amazingly.",Positive
4910,there are two ways i know if to get around windows 10 to download software from outside providers. | i bought the computer to use with specific software and neither the manufacture's help number of the software company's help number was able to help.,Positive
4911,for these purposes it meets my expectations.,Neutral
4912,"if you just need a laptop... this thing is priced well, boots fast, efficient, just enough programs to help with any tasks, perfect amount of storage (if you meed more, or more ram, easily upgradeable.",Positive
4913,if you spend $30 to double the ram then you have a full-functioning amazing laptop that will not lag at all and for less than the cost of a decent chromebook.,Positive
4914,"it is lightweight, thin and comes packed with the essential features most non-gamers need to work and play.",Positive
4915,i use it mainly for internet surfing but also some light photoshopping.,Positive
4916,"i do not like how forceful i have to be for the touch screen to work, but i love most everything else!",Positive
4917,do not get the midnight blue... the fingerprint problem is worse than you could possibly imagine.,Negative
4918,"if you are like me, i recommend that you watch some youtube videos on some handy tips.",Positive
4919,easy to type up documents and access photos and the internet.,Positive
4920,"just received a week ago and all is running fine with my own ram i bought separately, but to those considering using it as-is, be aware that this might be an issue.",Positive
4921,it is barely acceptable for any of these purposes:,Positive
4922,i do not like that it was not disclosed that windows 10 was only available in s mode before purchasing.,Positive
4923,"otherwise, the laptop seems to be working fine (fingers-crossed).",Positive
4924,"chromebook just constantly restarts over and over or the screen will go black, you only see your cursor, and then when it comes back you are back on the home screen with everything closed.",Negative
4925,"i cannot say how long the battery lasts yet but, for my immediate purposes, everything has been great to date.",Positive
4926,"computers are like buying a car, they lose half their value as soon as you walk out of the store.",Negative
4927,"the graphics performance is very good, not the best for intensive graphic or video editing but for most everyone this is an excellent laptop with plenty of power. | working with large adobe photoshop documents has been a breeze. | it is built very ruggedly for a laptop, and the chassis is mostly metal.",Positive
4928,"this product was supposed to be white and i got a black one, it is supposed to be touch screen and nope it is not everything else is fine with it just those things, false advertising!!!",Negative
4929,this cost about $100 more than i wanted to spend too.,Positive
4930,"i have ordered the 4gb extra ddr to get a performance boost, that should be the first thing done to this laptop, after turning off windows s mode and uninstalling bloatware.",Positive
4931,i almost cancelled this and so glad i did not.,Positive
4932,"this is a cute little chromebook with cool features but if reliability is important, this is not what you should choose",Positive
4933,"going from a large laptop, i needed something for web apps only (email, accounting, documents, etc) and wanted something more than a tablet but less than a full blown laptop, and most important, very good battery life. | hoping to get at least three years from it before upgrading to something faster, and it has enough speed that i think that is entirely possible.",Positive
4934,"the speakers are ok, but mostly game with a headset. | i knew this ahead of time and as i am not planning on leaving the hose with it very often it will work amazingly plugged in.",Positive
4935,"i bought this computer to use in college, i use some kind of heavy software like sketchup, autocad, photoshop and illustrator. | the sound has some issues, as i have read across other reviews, but i do not need this aspect to be perfect anyway.",Positive
4936,"thought it would last at least a couple years, build quality wise but no, 1.5 yrs after the hinge where you open and close it started coming apart for no reasiy. | very disappointed should of bought warranty or bought it at costco.",Negative
4937,simple things like running you tube from microsoft store will not work . | as many users say windows 10 s is horribly constricting and most apps do not run well.,Neutral
4938,"i got this for my wife for her birthday and she loves it, she does mostly office things and looks at videos, etc but she did say many times that the video quality was amazing.",Positive
4939,"almost exactly like my old acer, but does not have touchscreen.",Positive
4940,does not work most of the time.,Positive
4941,"i have ordered the 4gb extra ddr to get a performance boost, that should be the first thing done to this laptop, after turning off windows s mode and uninstalling bloatware.",Positive
4942,"although i attempted several times to reach acer for technical support, it was completely impossible to do so.",Negative
4943,"the reasons i love it are the large display, the light weight, and the fact that i can easily run the basic programs i need to use on it.",Positive
4944,"i hate this soooooo much ...... everything is lose in the package ,not care for what so ever ,everything is filthy disgusting and very very disappointed i want to return this embarrassing thing i ordered .and this item is not worth one star ,",Negative
4945,i wanted a pc but i hate windows and mac so i chose a chromebook.,Negative
4946,signing into my microsoft onedrive allowed and immediate download of my ms office subscription.,Neutral
4947,"my college classes are all online and we have cisco meetings for our lectures and most of our labs, i cannot afford to be without my computer that long. | if you are looking for a reliable piece of equipment and need it for school/work purposes i suggest going with a different brand.",Positive
4948,"you have to ensure you do not connect them to the internet during setup because if you do ... you must absolutely sign in with your microsoft account (or create another one). | because they removed the option to choose a local account, their reasoning for this is simply to control you and your computing experience. | well, ms made that practically impossible too!",Negative
4949,"the fact that this compact device runs windows 11 is an absolute plus, because even though it eats a good chunk of the 64gb disk drive it is quite snappy when starting up or loading apps and it is also nice to know the operating system will not lose microsoft's support for many years.",Positive
4950,it runs these programs well unless you try screen recording at the same time.,Neutral
4951,"but this pc should be able to play blankos, even though the colors are amazing in that game.",Positive
4952,good laptop and suits my purposes.,Positive
4953,i use it to watch movies and to store photos of my border collies.,Neutral
4954,"there have been some recent notifications for those that own earlier chromebooks that updates will discontinue as well as the suspension of the google web store. | if you have an earlier model, you can still use it but without chromebook updates to the os.",Positive
4955,nearly impossible to get in touch with acer to find out about warranty.,Negative
4956,it is been almost a year and it has only glitched or frozen 1-2x's and that was easily remedied by a restart.,Positive
4957,now it is the most expensive piece of recycle i have.,Neutral
4958,"it is a high quality computing device, has excellent colors, and comes with windows 10 and the new microsoft office for a year, which is beneficial. | the s mode in windows, eliminates the hassle of viruses and malware, and all the accompanying protection programs that are unending.",Positive
4959,"i asked repeatedly how a closed, flat laptop, protected by that much bubble wrap, could possibly have had the screen cracked during shipping. | i explained the impossibility of it, and said that the outer parts would have to have been damaged as well, and that i could not imagine that a garbage crusher could have damaged it as wrapped as it was. | it would have been literally impossible for my screen to have become cracked during shipping. | i printed the shipping label they provided, and dropped it at the post office.",Negative
4960,"the positives aside, i think it is worth it to spend the extra $150.00 to get somehting like the hp pavillion laptop 15 (my other computer) for gaming and work as i can use that one with ease and the storage space is enough for my games and music.",Positive
4961,it runs my graphic software perfectly and i love the backlit keyboard as i work at night alit,Positive
4962,the option to undervolt this cpu is non-existent without third-party software and is the only viable fix.,Neutral
4963,the laptop was purchased in july and now in november when i went to close the laptop screen slowly mind you the right bottom corner of the screen pulled away from the frame.,Negative
4964,"can play large games like microsoft flight sim, racing sims.",Positive
4965,"the laptop is good, it has a tremendous screen, it is fast, perfect for those who use it for tasks and others, it overheats more than i expected, the battery lasts like 4 to 5, nothing to do with the 7 hours it shows in the description.",Positive
4966,s mode makes it impossible to my email and most apps i have used forever. | disabling it affects security and performance according to microsoft. | it seems more of a ploy for microsoft to monopolize on my purchases.,Positive
4967,i run photoshop and illustrator on it fairly easily.,Positive
4968,i am downloading all our wedding photos to it so it will probably take up most of the 64 gb of space but i am ok with that as well.,Positive
4969,without those upgrades it would probably be ok for office tasks and minimal web browsing. | it almost feels like you will break something so just go slow.,Negative
4970,i would first like to say this is most definitely the best budget friendly laptop and i see why it is the best seller also. | it performs very smooth and fast whether it is streaming videos on youtube or playing games. | other than those 2 things this is a killer laptop and i would buy another one in a heartbeat because of the price and what you get for it!,Positive
4971,"cannot revert back to windows 10 because microsoft only gives you a 10 day grace period to do so once windows 11 has been installed, god only knows when that was, so now i am stuck with a brand new laptop with windows 11, the only way back is to attempt a full installation of windows 10, which probably is not free, and hope everything works out afterward.",Positive
4972,not too crazy about windows 11. their passion for one drive and how they removed functionality from standard utilities like photos.exe.,Negative
4973,"the m1 chip blows the intel chips out of the water in terms of loading speed, battery life, and ability to handle large logic projects with dozens of tracks, plugins, software instruments, and live recordings.",Positive
4974,i will post back if i have any issues.,Neutral
4975,i would choose acer over hp any day!,Neutral
4976,ie- you have to make at least 4 full finger pad width swipes to cross the screen one time with the cursor.,Positive
4977,i needed to replace my old chromebook because it was outdated and about to lose its updates.,Negative
4978,"the lot of thinks the hp did to make this computer price under 1000 dollars, can be a problem for the future of the brand victus, they install 2 x 4gb ram memory to save some pennies, some versions have 144hz display but a more ship video board, other 60hz with a better configuration, so hard to choose from the options.",Positive
4979,it is almost like there are no speakers at all.,Neutral
4980,"i use it daily and the hinge broke from opening and closing that is my fault. | no regrets, good picture and speed is good for most programs, i dont think for games.",Positive
4981,it runs very smoothly and can handle multiple tabs and programs being open at the same time.,Positive
4982,none of the software for the msi was downloaded because someone else had an account on the pc when i bought it.,Neutral
4983,i purchased this low cost laptop hoping it would meet our business needs.,Neutral
4984,i tried updating it 20 times but it failed repeatedly so i wiped the whole computer and reinstalled the os. | ran antivirus scans with multiple antivirus software packages and never had any flags.,Negative
4985,"i mostly do just web browsing, basic video watching, some light word processing, etc.",Positive
4986,i love the capabilities for the price as i do mostly everyday jobs on the computer.,Positive
4987,i bought it based off of positive reviews and this community was right.,Positive
4988,"now i find out that it cannot use even basic microsoft software such as powerpoint. | i do not want anyone else to end up in my situation, so if you are buying those for a student, please consider other options....",Negative
4989,"bought this computer less than three months ago, the charging port is broken (diagnosis from acer support) but customer service is poor and i am stuck with a defective product.",Negative
4990,"i wrote a negative review (below) when i first bought this pc, citing its useless bloatware from microsoft and its partners. | i was also frustrated initially by slow page loads, until i realized that the pc was going through lengthy software updates. | since then (after removing the bloatware and getting past the updates), i have had a very positive impression of this pc, liking its screen, its keyboard, and even its performance, which is acceptably fast (not super fast).",Negative
4991,the track pad acts like it is possessed most of the time.,Positive
4992,"overall my experience has been incredibly positive. | the design is nice, the display is an amazing 1080p display (not 1366x768 like most cheaper laptops) and the laptop mostly performs fairly well.",Positive
4993,"with the abilities that cross over with my phone are amazing. | just recently i lost my phone, good ol chromebook new exact location within feet.",Positive
4994,"you will definitely hear the fans especially during the cooler boost 5 feature. | however, rest assured it will probably never get dirty inside if you game often and/or run the cooler boost 5 from the button on the keyboard.",Negative
4995,it would not let me set up a microsoft account yet requires that i do so to use it.,Neutral
4996,i originally picked this laptop up with hope to use it as a testing laptop for my software i develop.,Positive
4997,"the screen is responsive and bright, and chrome os does everything i need it to.",Positive
4998,"i upgraded it myself, as many others have, via some really helpful youtube videos, and i could not be more pleased.",Positive
4999,"using microsoft 365, watching youtube, web browsing, and synching with my android phone makes it such a wonderful pc.",Positive
5000,you can surf the web and see youtube videos ok...but do not think you could do any reasonable gaming or real work on it.,Positive
5001,"i got the cheapest (cheapest lol) model, but basically that is saying a low end ferrari since the cheapest is what most people would need (even more than most honestly).",Positive
5002,"okay, so full disclosure. | as an end user however, i really do not know who this is supposed to be made for. | it is woefully underpowered and comes with a crippled os. | if you do not mind those things then there are a lot of cheaper options. | if you do mind those things then i hope you know what you are doing because it is going to take a lot of time and effort to get this thing usable.",Positive
5003,"i got this macbook, m1 max 32 core gpu / 32 gb of ram, for work purpose and this blows my mind miles away, i never found such good a display, it is so accurate and nice to work with.",Positive
5004,when i opened the shipping box the laptop container had no protection and so it was jostling around during shipping.,Neutral
5005,"the macpro laptop that i received was full of idiosyncrasies compared to my previous macpro i would be typing away and the next 3-5 letters would suddenly appear two or more words back in the paragraph. | the whole device seems skittish, i will try to see if it is repairable or is just a flaw in the software.",Positive
5006,the only advice i have is to read those sometimes long detailed reviews.,Positive
5007,"i used this on a cross country flight, watching movies, connecting to wifi, sending emails, downloading attachments etc. | then i used it on another cross country flight.",Neutral
5008,"the upgrades were very easy to do myself, just take your time with it and do it right - there are videos on youtube from acer and others that show you just how to do it. | yes it is not the most powerful out there, but for this price you get a lot of what you need without all the unnecessary bells and whistles.",Positive
5009,we could easily loose the first two weeks of classes in the best of circumstances.,Positive
5010,"i was wrong, after removing all the unwanted software i was able to get the memory usage to around 44% when idle.",Neutral
5011,foe most people this laptop should work just fine.,Positive
5012,if it fails in one or two years i can at least say hey i did not lose much and can salvage the parts.,Negative
5013,"i am able to run some windows programs using a beta emulator. | good things are coming to chromeos even ms is going to use the chrome engine in the next version of their browser. | to unlock the full power of this system please google how to install the linux software store, then its just click and install.",Positive
5014,i have it set to sleep mode when i close it and it does not really seem to use any battery when it is that way.,Negative
5015,also windows in s mode requires you to use microsoft apps only so no duck duck go or ccleaner.,Neutral
5016,this is so easy to use and he loves it have not came across anything we did not like yet!,Positive
5017,i am just watching youtube videos or playing the one dumb game i play.,Negative
5018,"if you are like me and use multiple external monitors with your laptop, you should know that until apple releases an update to their os, you can only hook up one external monitor to this computer.",Neutral
5019,first and foremost - there is no caps lock indicator anywhere.,Positive
5020,no driver issues or blue screen of death on either operating system.,Neutral
5021,"i keep mine tethered most all the time, but its amazing how quickly the battery will go, and it can go from telling you you have 35% battery life left, to suddenly shutting down because of no power.",Positive
5022,"everything ran flawlessly, cpu temp levels were fantastic, have not needed to use the cooler boost but i played with it anyway, it is not terribly loud but it is louder than you would expect.",Positive
5023,i have had this inspire 5 laptop for 3 months... it ran ok out of the box... then i added a crucial 500 gigabyte ssd and two sticks of crucial 8 gigabyte ram... now this machine runs like a rocket on steroids... i have been running windows 10s since day 1... one gripe i have is the screen brightness... maybe acer will allow us to brighten the screen a little more in the future with a software update... the other thing that could be improved is the volume for the sound... the speakers are on the bottom front of the laptop and sometimes it needs a little more volume to heard...,Positive
5024,"you can download microsoft word and excel free from app store and they work very well. | it lays flat like a tablet would and automatically turns off keyboard when in the tablet position. | the apps or ""programs"" are in the task bar which you can be move from bottom left and right side of the screen.",Positive
5025,"this laptop (cost only $364.99) impressed me a lot with just 4 gb memory on a 128gb ssd drive. | i will update this post after a couple months, only if any defection comes up, otherwise, all is looking really good so far.",Positive
5026,"i turned it on, installed all the programs, did a little work.",Negative
5027,the settings randomly change all the time with no purpose and no reasoning. | it was impossible to determine how to add it back to the shelf.,Negative
5028,constantly locks up when trying to download photos. | sometimes it will tell you on the screen but most times it does not.,Positive
5029,s-mode can be upgraded to windows 10 home with no costs,Neutral
5030,"for the price, i am very pleased with this purchase and recommend it to those in the market for a quality notebook with great value.",Positive
5031,"it is fine folks like what they like for me, linux gives the most choice is extensible, and runs so fast on even older hardware, you get infinite support you do not get harassed to use cortana, siri, candy crush itunes etc etc.",Positive
5032,just opening and closing it walking around i feel so confident. | when you first set it up you choose if it is for a child or yourself. | most people do not like that.,Positive
5033,"not sure if this is standard now days ,but no cd drive, no dvd drive, so if your usb or other software issues come to play you will have to get an external cd dick (update to disk reader not dic ,hoping your usb still works or seek a professional to repair which is costly",Negative
5034,premiere pro like a boss.,Neutral
5035,"i have used it to watch amazon prime, netflix, and youtube videos (i do have to connect a bluetooth speaker).",Neutral
5036,my old computer was slow and was close to heading to the computer graveyard.,Negative
