,Performance Sentences,Performance Polarity
2862,overall if you need a small word processor i highly recommend it.,Negative
2863,this has great performance.,Positive
2864,"for gaming i definetly recommend to upgrade it to 8 ram instead of 4 this cant run games like fortnite , or gta very well with just 4 ram so do upgrade",Positive
2865,throw some extra ram in there and it works great!,Positive
2866,it took a long time just to open a browser window with no other programs running.,Positive
2867,"i purchased this for basic programming (javascript,css,html) and browsing and it works great!",Positive
2868,"this laptop has an awesome gpu and processor for the price. | so far, the combination of the 10th generation intel processor, ray tracing gpu, and 144hz monitor, have enabled this laptop to handle the most graphic intensive games and animation programs i have. | i have no doubt it will take any graphics intensive games or processor intensive apps thrown at it, without missing a beat.",Positive
2869,i can assure you since this laptop has a very good graphics card and a very good processor with the ability to add more things.,Positive
2870,i did upgrade ram from 4 to 16 but well worth it.,Positive
2871,"it has a problem with the gpu/motherboard. | green boxes appear all over the screen, i am unable to open games, and cad modeling program! | i installed the newest gpu driver, then it was ok for 2 restarts, and then the green boxes occured again!",Negative
2872,overall pretty please with the performance and quality of this laptop. | i would recommend adding some more ram to complete the package.,Positive
2873,"i purchased a few weeks ago, added a 16 gb ram chip and have really been impressed with the speed, excellent keyboard and functionality.",Positive
2874,graphics on high are perfect. | i do not think it would handle any intense graphics games very well.,Positive
2875,"it works pretty good now that i put in 16gb of ram, but just be aware if you do decide to buy this great laptop for gaming, you might have to play a couple of games on low settings for it to run good",Positive
2876,"i settled on the pulse gl66 for the following reasons: processor, screen, performance, quality of construction, expansion, weight.",Neutral
2877,"i have the 8gb ram m3 version, but chrome still slows it down with about 6 tabs open (but not to the point that it is unusable).",Negative
2878,"i got the 4gb version of the 3200u and upgraded the ram from 4gb to 8gb. | recently i upgraded the ram further from 8gb to 16gb, added another 2tb ssd 2.5 drive. | i even re-applied the thermal grizzly kryonaut the high performance thermal paste.",Positive
2879,i need to add a little extra ram but the overall quality for the price is very surprising it can handle just about anything but the screen itself is a little dim and that is the only drawback and i very cheaply priced overachieving gaming machine,Positive
2880,"nice, slim, beautiful, very low weight and great performance.",Positive
2881,"my teenage son is very happy about the performance of the acer aspire 5 slim laptop. | we added 4 gb of ram as suggested for a a few dollars more, also purchased on amazon.",Positive
2882,"prior to owning this laptop, i owned a macbook pro 2020 (intel) with 16gb of ram. | i have had pcs that only had 8bg of ram and they would struggle with multiple chrome tabs.",Neutral
2883,"the processor, ram memory and gpu combine for the powerful gaming laptop, the image quality its excellent!",Positive
2884,was advertised as 16gb of ram and it only has 8gb.,Neutral
2885,"this is a very good laptop for people who checks emails and basic stuffs, facebook instagram tiktok etc.",Positive
2886,"other than that great budget laptop for surfing the web or just watching netflix, nice screen and performance.",Positive
2887,"ryzen 3 keeps the graphics smooth and the processor has kept up with the day to day activities i have thrown at it so far. | minefield and solitaire work just fine, i am sure, have not run those programs either.",Positive
2888,bought a 16 gb ram chip and put it in.,Neutral
2889,i can run red dead redemption 2 at almost top graphics.,Positive
2890,"i bought the surface pro 8 with i7-1185g7 @ 3.00ghz 3.00 ghz; 16 gigs ram and a 256gig ssd. | i was told by one agent that microsoft had a trade-in program, so i checked it out.",Neutral
2891,resolution is decent and i really like the 1366 x 912 dimension -- i prefer it to 1366 x 768. processor is zippy.,Positive
2892,"(i bought a lenovo laptop recently with better specs, and was disappointed at it is internet performance - but i digress.) | cannot fault for performance, but maybe this one slipped through quality control.",Negative
2893,to get the full performance of this laptop you just need to go in the bios and change two settings which you can find on youtube and add a higher stick of ram.,Positive
2894,i wish it came with a microsoft word program but i will just buy that too.,Neutral
2895,i played some dota 2 (not a graphics intensive game) on it on medium settings without any issues.,Negative
2896,"i do wish that it had ram, but that is something i can address later on when the time comes.",Neutral
2897,easy to add in extra ram and memory to make it even better.,Positive
2898,what i do not personally like is the 4gb of ram but you can easily stick any stick of ram.,Positive
2899,"so is performance, just as advertised.",Neutral
2900,"the laptop boots up very quickly due to its ssd, and switching through various programs and google tabs is very smooth.",Positive
2901,"not the fault of amazon or msi, but did not know this generation of intel processor runs pretty hot.",Positive
2902,"bought this for my wife - and as a computer i could use for my programming needs if my main machine were to ever fail. | as for ram, it really only needs another 4 to 8 gig of ram and it will be a slightly faster machine for you.",Negative
2903,i have bought laptops with twice the ram and 10 times the disk space for actually cheaper in the past.,Negative
2904,cannot be used with outlook or microsoft work programs.,Neutral
2905,not what i had expected.. randomly shuts off when running programs,Negative
2906,if you run it in performance mode it will require a cooling pad to help keep temps down when gaming.,Negative
2907,"like a lot of reviewers i upgraded the ram from 4 to 8gb and....it is twice as fast  but seriously, it is so much smoother and downloading files from my ipad to this does not take all day.",Positive
2908,bought this for my brother laid up with back surgery-easy to work great graphics and definitely user friendly!,Positive
2909,it runs smoothly and can run many of the programs you throw at it.,Positive
2910,"the nvidia rtx 3050ti is just enough to run most games on high graphics. | the occasional drop in framerate was expected from such a demanding title. | if you have the coin go with the rtx 3060 or 3070 option, however i highly recommend you upgrade the ram and nvme drive either way.",Positive
2911,disabling it affects security and performance according to microsoft.,Neutral
2912,"bought this for a light, traveling word processor.",Positive
2913,"i do not game or do anything heavy-duty, and i did upgrade to 8 gb of ram though.",Positive
2914,"i have many tabs open and other programs open all at once and have no problem switching back and forth, without lag.",Positive
2915,"i ordered this on a one-day ""flash sale"", and i had the choice of intel or amd, nvidia, intel uhd or vega3 graphics.",Neutral
2916,"i also liked that i did not have to disable windows10 s mode prior to installing 3rd party programs, i.e; google chrome and a security suite, thank you!",Positive
2917,"and i never believed that i would get a job working for apple, and add to those shares over the next 14 years through the employee stock ownership program.",Neutral
2918,very easy to upgrade ram.,Positive
2919,"the trackpad, the keyboard, the screen, the performance, the battery life, all great ",Positive
2920,"i recently purchased a dell laptop for around the same price that i, unfortunately, had to return because 1. dell sent me one that did not have the light-up keyboard i paid extra for and 2. it had major performance issues.",Negative
2921,"when it comes to getting a gaming laptop, i put it through some stress tests, first of which is skyrim special edition on ultra graphics. | while playing spore on high graphics, which are not that taxing on a normal computer, the battery lasted 1 hour... put simply the battery is bad, but if you keep it plugged in as you play any game, it will work fine!",Positive
2922,i added 8 gb of ram to help speed it up but i am not sure i even needed to do that.,Negative
2923,it improved performances once i got familiar thew protocols.,Positive
2924,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
2925,"also, upgrading the nvme and/or the ram is a full disassembly, which voids the warranty.",Positive
2926,i own an acer swift 1 and needed a laptop with more ram and disk space and acer x gave me that plus all the bells and whistles.,Positive
2927,"screen's nice, form factor is decent and performance is good.",Positive
2928,have 8k ram chip on the way.,Neutral
2929,"anyhow, bought this with the intention of making the following changes (so my review is based on the laptop in this configuration): swap s-mode for regular windows 10 (free and easy but irreversible), install an additional 4 gigs of ram for a total of 8 installed, tweak settings as mentioned before.",Positive
2930,i think the 8gb of ram is just a little on the low side and i suspect adding some more will do wonders.,Positive
2931,i got it for school and it works well it microsoft programs and lockdown browser,Neutral
2932,"not only has it served its purpose academically, but my son has enjoyed the graphics and speed for gaming as well.",Positive
2933,adding more ram woke it up a lot. | better overall performance.,Positive
2934,"what i like about it, it was extremely easy to upgrade the ram and the ssd!",Positive
2935,everything today has programmed obsolescence.,Neutral
2936,product is advertised as 16gb ram but is actually 8gb. | was very disappointed but am keeping it and got a 16gb ram stick from best buy.,Positive
2937,"i upgraded the ram, and installed a 2tb hard drive because of how much music i use.",Negative
2938,"clear screen, fast processor, no frills and easy start up.",Positive
2939,the ryzen 3 processor cannot support virtual backgrounds so you will not be able to blur your background for meetings.,Positive
2940,the processor is not 2.8ghz it is onlt 1.3-1.4 ghz it is slow.....,Negative
2941,"has a reliable reputation, bright af screen, sturdy chassis, 16gb ram is good enough for most users so it is pretty damn fast, and just an overall well rounded computer.",Positive
2942,and the games run smoothly with the amd ryzen graphics card.,Positive
2943,"in my opinion, the lg gram is the only option on the market if you are seeking a thin and light device w/ a large display & solid performance. | this is my third lg gram, despite already owning a 2021 macbook pro 16"" m1 pro and a 2022 macbook air m2. | just like the mac, in my opinion, there is no other device quite like the gram!",Positive
2944,"so i bought this acer aspire, knowing it was a little light on ssd and ram. | i ask a little more as i do vector art, video editing and graphics, so added an additional ssd and 8 gigs of ram. | ok, so it has a ryzen 3. this cpu is comparable to intel 7 of a couple 2020 according to bench marks. | same applies to onboard graphics. | it is not a gaming machine, the graphics for anyone else are outstanding.",Positive
2945,"bought the laptop for editing and college with the knowledge i would be buying more ram (the laptop has enough ram for everyday use but not enough for gaming, editing, big ticket stuff). | even if you need to upgrade to more ram, because you are going to be downloading big files, editing, or something else?",Positive
2946,you can get the pro max chip and bump up the ram to 64gb if you want - and add tons more storage.,Positive
2947,"overall i find no faults with this device, i have the 8gb ram version and it performs like a champ for all my needs as a student.",Neutral
2948,"overall, a very good quality, good looking, and good performance laptop for the price with acceptable fan noise. | that said, the 4gb v-ram is the biggest blow to it is performance as some newer you intensive titles struggle at the highest settings.",Positive
2949,"i read the reviews here before i purchased this laptop 8 days ago, including the 'no wifi' reviews; i actually thought that 'i wont get one of those', ...but i did..., and since no one had said that hp has a fix, i was ready to return my laptop to amazon for a replacement because the laptop itself is great as far as features and performance[so far].",Positive
2950,"ram and storage are pretty low, but you can upgrade them rather easily.",Positive
2951,planning on upgrading the ram just like many have mentioned.,Positive
2952,"this is my first chormebook experience, my decision to switching from windows to chormebook was not easy and of course i was worried, but to my amazement the performance of lenovo c330 is best, this chrome book suffice for my use which consist of browsing, wathcing youtube, netflix and for writing purpose.",Positive
2953,i have a good anti virus program and it just stopped turning on.,Positive
2954,"i stream games with multiple monitors, an el gato game capture device, sony camera, yeti mic, and this computer handles all programs like a champ.",Negative
2955,"needless to say, it can run games that are power-hungry like elden ring and monster hunter world smoothly, although the graphics may not be top-notched, the frame rate is pretty consistent and loading time is very good.",Positive
2956,"...added ram for 16gb, had a 500gb samsung pro evo from an old laptop and formatted in ext4.",Positive
2957,"i find its performance impressive because of the speed with which it accesses information on the web, email, and documents.",Positive
2958,great sound quality and good graphics performance.,Positive
2959,"for $350 the aspire 5 is a superb buy, and the amd processor outperforms equivalent intel processors in this price range-- and above.",Positive
2960,"the screen has good graphics. | i am not a gamer but i am a photographer and graphic designer, so the graphics are very important.",Positive
2961,great price for grammy too.,Positive
2962,cpu benchmark tests put this top 3. m/p ratio of 7.7.,Positive
2963,the performances on games are amazing!,Positive
2964,"my teenage son is very happy about the performance of the acer aspire 5 slim laptop. | we added 4 gb of ram as suggested for a a few dollars more, also purchased on amazon.",Positive
2965,if you are looking for a laptop to browse the internet and use microsoft office programs then consider this laptop.,Neutral
2966,"keep in mind for those with negative reviews, do your research on chromebooks, they do not work with wordperfect and programs such as that.",Negative
2967,"easy to upgrade ram, i think i will do that again...",Positive
2968,"i have looked into getting help from asus in case i am missing something, but they want you to sign up for a program that they charge for.",Negative
2969,"perfect for a student, especially if you upgrade the ram-- you can see how to do this on youtube.",Positive
2970,i added 4 gb of ram and it is used mostly for web browsing and email.,Positive
2971,battery is roughly 4-5 hours while editing and performance does not change whether the laptop is plugged or unplugged.,Negative
2972,the processor is fast.,Positive
2973,"the cpu and gpu will get very hot. | turn off cpu boost, set the max cpu to 95%, put it in balanced mode, and get a laptop cooling mat with fan and it will perform just as good as all setting on.",Positive
2974,"just added a 8gb ram (total 12gb ram) and a old 120gb ssd, feels good~",Positive
2975,however i am pleasantly surprised by the performance of this laptop. | windows defender is an anti malware program already installed onto the laptop and so far it is reliable to keep your computer protected.,Positive
2976,4 gb ram just is not enough.,Neutral
2977,and overall they seems to be the same performance laptop!,Neutral
2978,i got more ram just cause everyone seem to mention it.,Positive
2979,"nice building, but need to upgrade to 8 gb ram for best performance",Positive
2980,"while you have the back cover off, i would also recommend upgrading the ram as 4gb is not going to cut it with windows 10. there are two slots, i bough a second stick of ram to get it up to 12gb total (8gb + 4gb) and threw it in at the same time as the hdd.",Neutral
2981,no problems with startup out of the box and good performance to date.,Positive
2982,otherwise performance is good.,Positive
2983,"invested an additional $80 to add a 250gb sata ssd (brings the laptop to 378gb total hard drive) and 8gb ram (12gb ram total), which i think were necessary upgrades.",Negative
2984,"you might want to upgrade the ram, by the way. | if you buy a faster ram stick, you are just throwing away money at that point.",Neutral
2985,"great gaming laptop, i would only use it for gaming (plugged in) its battery life is bad when not plugged in, can run pretty much everything on medium graphics.",Positive
2986,it also gives you an option to expand ram and hdd.,Neutral
2987,the processor speed is great and super fast! | the screen graphics are nice and crisp and bright.,Positive
2988,a little over an hour of high graphics gaming and its dead.,Negative
2989,i purchased an 8gb ram upgrade but have not even installed it and really do not need it.,Negative
2990,the cpu and memory usage were at 100% with just one tab of google chrome open.,Neutral
2991,the m2 processor really makes this thing perform.,Positive
2992,the resolution is great and the performance is fast for every day use and light streaming.,Positive
2993,"it has different modes so on power saving mode, with the lowest brightness, and ultra low performance you could probably get 4 hours out of it.",Neutral
2994,fast processor.,Positive
2995,"ram and storage are pretty low, but you can upgrade them rather easily.",Positive
2996,"good screen quality, runs heavy games like a dream, and supports my art programs nicely despite not being made for that purpose.",Positive
2997,i can run all my games at full graphics load without any trouble.,Positive
2998,only has one ram slot and a soldered on 4gb of ram so can upgrade enough and the hard drive can be added i like the ability to choose your own hard drive size to put in instead of being stuck with a low amount... less ewaste.,Negative
2999,this laptop is sluggish in windows even after upgrading the storage and ram but it runs linux really well the only thing that is an issue in linux is the ethernet adapter dos not work but wifi dos and i think that what most people will use on a laptop anyway.,Positive
3000,i bought a second memory stick (ram) 8gb.,Neutral
3001,i bought 16gb of ram and 512 ssd... all from crucial.,Neutral
3002,fast processor and i added some ram.,Positive
3003,what you need to decide is if you plan to use any apps or programs on this computer.,Neutral
3004,"i was very skeptical getting a laptop from amazon, i dont have much money so making a purchase like this i had to take a gamble with something that was a bit higher end(graphics card and cpu wise) for gaming so i can have it for a long time.",Positive
3005,"this little laptop is more than enough to get you through day-to-day tasks,even can handle some light gaming, runs about the same as an old xbox 360. i recommend you upgrade the ram to 8 gigs, set s mode off, and also a little hot tip, go to bios and enable f1-12 by default and you will have your self a very capable little machine.",Positive
3006,the graphics card is a beast.,Neutral
3007,"i put in a 1tb ssd and another 8gb of ddr4 sodimm ram. | there were 2 slots for ddr4 sodimm ram, so i think you could potentially get 16gb total ram in this laptop if you had two 8gb sticks.",Neutral
3008,"just a note: if you are getting this for a kid, be careful with the programming for locking you out of your own computer. | and then, of course, we reprogrammed it to never lock us out.",Positive
3009,"it has everything you need and nothing you do not the ssd is fast, and the minimalist design simplifies things and does not give you features you probably wont use (cd drive, touchscreen, etc) i may add additional ram in the future, but as it sits now it does everything i need it to (and fast) for streaming, browsing and general computing.",Positive
3010,"(1399$ at the time of the purchase) .15” inch montitor, 10th gen core i7 , 16gb ram (up to 64gb) , 500gb nvm drive( it has an empty 2.5inch for another ssd too) and a full dedicated rtx 2070!",Positive
3011,even when rendering 4k videos with color corrections and graphics.,Neutral
3012,"this macbook fulfill every single thing i desire from a laptop from the sleek performance, fast and snappy experience, and the overall quality and feel of it.",Positive
3013,i wish it came with a microsoft word program but i will just buy that too.,Neutral
3014,biggest plus is the that the 2070 in this laptop is a 115w instead of a max-q 85w so the performance is exceptionally good.,Positive
3015,"i am going to put down the mike, as i am rambling now.",Negative
3016,you can add another 4gb ram stick for 20 bucks and 500gb ssd for 50 bucks.,Neutral
3017,thanks to the onboard graphics chip only 3.4 gigs are available for windows and programs. | i added an additional 4 gigs and performance improved quite a bit but make no mistake: this is not a powerhouse.,Positive
3018,"its performance is so so, the screen quality could be much improved but what i am going to address is the port and the charger and the expense involved to fix it or replace it.",Positive
3019,it has good graphics and works very well.,Positive
3020,"we did do a few minor upgrades on it before we really started diving into it, put 32gb ram in it and put a second 1tb ssd to handle most of the games.",Positive
3021,i just recently got this laptop and after a few simple upgrades it is great upgrade the ram and now i can run red dead ,Positive
3022,you should really be playing any games until you upgrade 4 more gigs of ram. | i recommend 12gb of ram or more to play better games.,Positive
3023,"this is the least expensive computer i have ever owned, and i am very pleased with its performance.",Negative
3024,"this lappy has a powerful cpu, but does not have a dedicated gpu, so playing anything aaa (even if it came out years ago) will run horribly! | if you are an amatuer video editor and only plan on playing indie games on here at 60fps then this will be ok (high graphical indie games will still encounter horrible frame dips), i played salt and sacrafice at a steady 60 fps and any pixel art or low demanding graphical game will be ok, however even an indie game like roboquest i had to turn graphics down to medium and was getting about 40 fps",Negative
3025,this is my 2nd hp laptop with a i7 processor. | no complaints about performance as i run mostly adobe apps and music production software constantly.,Positive
3026,it also has an additional ram slot and drive bay that is easily accessible to future proof it for some time.,Positive
3027,i guess i am going to have to return it..after i bought a hard drive and more ram...i am so mad!!!,Negative
3028,half of my programs are not compatible with it and some are not updated anymore so there is a little hope for a fix.,Negative
3029,"it has three modes: silent, performance, and turbo which i find very useful for different task.",Positive
3030,"the aluminum top feels a bit flimsy, and there could be more ram, but for the price, it is quite impressive.",Positive
3031,"240 max fps(uncapped), 89 degrees c cpu temp.",Neutral
3032,upgraded the ram to double the amount out of the box amount with the suggested samsung ram. | be careful prying it open to upgrade ram.,Negative
3033,i was surprised by this machine and the adaptability of the ssd and ram makes it way better bang for it is buck than other machines and the card puts out the frames for the games i play.,Positive
3034,"performance is ok if you are doing web browsing, light coding (at least pycharm and rstudio work well but i cannot say the same thing about android studio) or other ""ms office work "".",Positive
3035,always bought hp with intel hardware but figured with the reviews for this acer aspire 5 with amd ryzen 5 and radeon graphics why not explore unfamiliar territory and see what the hype was about in the reviews.,Neutral
3036,"for internet surfing, cloud office applications, and python programming it is perfect.",Positive
3037,"awesome graphics, super fast loading time.",Positive
3038,"battery life, processor’s, compatibility with all my wireless peripherals. | m2 16gbram 1 tb ssd!…",Neutral
3039,i am amazed with the performance screen quality.,Neutral
3040,pleasantly surprised by processor.,Positive
3041,i have bought laptops with twice the ram and 10 times the disk space for actually cheaper in the past.,Negative
3042,"slim, lightweight,but performance is not good.",Negative
3043,great graphics.,Positive
3044,"best quality, price-performance by far, i recommended it to 5 people and all of them are very happy for what they got for this little price.",Positive
3045,"i got the 4gb version of the 3200u and upgraded the ram from 4gb to 8gb. | recently i upgraded the ram further from 8gb to 16gb, added another 2tb ssd 2.5 drive. | i even re-applied the thermal grizzly kryonaut the high performance thermal paste.",Positive
3046,"we bought this chromebook a few years ago and let me tell you, not only is the performance and touch screen amazing, but this is a very very sturdy chromebook.",Positive
3047,the processor is not powerful enough to keep up with pch games.,Negative
3048,"magnificent cpu, excellent for the purpose.",Positive
3049,"it has a ssd drive but it is a bit on the small side, and the built in ram was lacking at only 4 gb. | there is an open slot for ram and a space for a second hard drive already there.",Negative
3050,"i upped the ram to 8 and got shed of s mode, so it is plenty fast for my use ( love the ryzen ssd) also has a very good sound which is far better than average.",Positive
3051,i see in comments people talking about how to add ram or whatever.,Neutral
3052,good storage 64gb and 4 gb of ram.,Positive
3053,also the ram was wrong said 20 but then it only provides 8. fix your description because this was a bait and switch and should be sued for false advertisement.,Negative
3054,"this laptop will shred through any game with the highest settings, though, you will not unlock the full potential of this beast until you plug an external monitor to it, due to optimus (it bottlenecks the performance from 4% to 50% fps depending on the game title).",Negative
3055,great performance web surfing.,Positive
3056,i do not need a cpu/gpu/ram that make your toes curl.,Neutral
3057,"amazing graphics for gaming and a sleek, lightweight chassis. | my only gripes are that there is no numpad (personal preference) and a low drive memory but it makes up for it in performance, portability, and power.",Positive
3058,"love it, but make sure to upgrade the ram if you are going to use it for gaming.",Positive
3059,"it is not great for photo editing, rendering videos, or other processor-intensive tasks, though. | if you are looking to do some light gaming (very light) you can easily upgrade the ram and storage (they include a kit to add an ssd to the system, which is awesome). | i use it to run my laser cutter and it does fine now that i have bumped the ram up to 16gb.",Positive
3060,slow after a while and the drivers and cpu suck .,Negative
3061,"i do not game or do anything heavy-duty, and i did upgrade to 8 gb of ram though.",Positive
3062,"took a while setting up windows 11 but the performance was great. | for users that would like to run games or do graphic designs or any other storage/ram consuming tasks, i would highly recommend purchasing ram and either a 2.5 ssd as it comes with an extra slot to put one in or another m.2 with higher storage as it would be a necessity since 128 gbp of storage would definitely run out fast.",Positive
3063,"with 1 empty ram slot and empty 2,5 inch of sata.",Negative
3064,"for me, the celeron processor is taking a little getting used to as it is a tad slower than my old asus laptop, along with the touchpad/number pad combo.",Negative
3065,(9 year old doing homework at grammar),Positive
3066,"i highly recommend this laptop if you are looking for a budget gaming laptop to buy, this is the best option with some great specs and high end graphics card.",Positive
3067,"you might want to upgrade the ram, by the way. | if you buy a faster ram stick, you are just throwing away money at that point.",Neutral
3068,"please remember this is not a ""computer"" that has hard drive space and a strong processor. | this device is mainly for internet applications, google classroom, office 360, cloud-based programs.",Positive
3069,"i have now owned this acer aspire 5 a515-45 for nearly 2 weeks and thank goodness for my banks purchase protection program. | they boast about having a 1080 hd screen , ultra fast wifi yet i find this machine is as slow and the graphics as poor as my 5 year old dell.",Neutral
3070,"bought this unit for its price point and the fact that it has an open bay to add a 2.5"" ssd and an open slot for additional dram memory.",Neutral
3071,"the acer aspire 5 with 15.6"" display powered by an intel i3 11th gen cpu is a surprisingly able little powerhouse that will satisfy the needs of most users.",Positive
3072,"overall i thought i made the best choice with a small budget, but alias the graphics card did not match up imo.",Positive
3073,"16g ram, 512 memory, 10th gen intel i5, and all the goodness of new windows 10. it starts almost immediately, in seconds.",Positive
3074,wow when my friend recommended this laptop to me i trusted him cause he is a gamer and it does work amazing and the graphics are amazing.,Positive
3075,good pc programming and general use.,Positive
3076,"this laptop is great for what i purchased it for - i have no complaint about it is performance. | however, i am highly disappointed that i cannot download apps or programs that are ""outside"" of the microsoft appstore.",Positive
3077,although it comes with only 4gb of ram... laptop is easily upgradeable via removing back panel and adding more ram.,Positive
3078,it is clearly a bad processor.,Negative
3079,this laptop was a great buy the 8gb ram is a real boost when opening applications and browsing and the screen quality was much better than what i expected at this price point.,Positive
3080,"i find its performance impressive because of the speed with which it accesses information on the web, email, and documents.",Positive
3081,the graphics are are great and i have not had any issues at all with it.,Positive
3082,good graphics.,Positive
3083,"as for gaming, i have played a few strategistrategy games and the graphics and speed seem good. | i cannot say whether this would be the case though if someone wanted to play fortnight or an online game that requires mor processing speed and graphics.",Negative
3084,got some high ram usage and multiple instances running simultaneously.,Positive
3085,"the unit only has 4gb of ram, but for the average user it works great. | it is glitch free and the processor is beast. | even though streaming prime, netflix hulu plus others is not an issue, i am upgrading to 16gb of ram to improve speed on some applications.",Positive
3086,my chrome starts hoggin all the processor even tho i only have a couple windows open...……..ah but that is a review for software....back to the laptop.,Neutral
3087,i guess i am going to have to return it..after i bought a hard drive and more ram...i am so mad!!!,Negative
3088,i upgraded it to 16gb ram and swapped out the nvme for a 1tb intel 660p unit. | some of his steam games could not achieve playable frame rates.,Neutral
3089,correct computer could not handle the max graphics settings but this one did.,Neutral
3090,i got mine with 16gb ram and it works great.,Positive
3091,great performance at a low price.i like the backlit keyboard and the easy portability.,Positive
3092,"large and hi-dpi screen, good keyboard, 4 core cpu, and linux support.",Positive
3093,"material, performance and sound are absolutely defectless.",Positive
3094,my only complaint is that i will have to upgrade the ram because the 4 gb gets overrun pretty easily and it causes the computer to slow down a bit.,Negative
3095,even with the extreme performance setting with the fans at high speed it was really not that noisy in my opinion.,Negative
3096,"it works pretty good now that i put in 16gb of ram, but just be aware if you do decide to buy this great laptop for gaming, you might have to play a couple of games on low settings for it to run good",Positive
3097,"i got a 60hz display, even though it said 144hz and the graphics card is a gtx 1650 not a 1650 ti like it was mentioned.",Neutral
3098,"ram and storage are pretty low, but you can upgrade them rather easily.",Positive
3099,"the laptop boots up very quickly due to its ssd, and switching through various programs and google tabs is very smooth.",Positive
3100,"great everything, i am upgrading the ram from 4gb to 16gb and the hard drive from 128gb to 500gb, aside from that it is perfect even if you add the upgrades into the price. | the only drawbacks as some people would say is there is no usb-c and the screen even though it is hd 1080p that the colors are not super accurate of course that is graphics and video people looking for precision color gamut accuracy but seriously most peoples eyes are not perfect either enough to see a difference, you look at this screen it is precision nice and crisp. | this thing is on point, thin, light, has some power especially when you upgrade the ram because the on chip graphics get more shared ram which equates to better performance overall.",Positive
3101,you just have to add a ram memory and the equipment works great.,Positive
3102,"can handle up to 32gb ram, comes with m.2 ssd and can add a second 2.5"" hdd or ssd.",Neutral
3103,ram expansion is plug and play.,Neutral
3104,i was very surprised that it have better performance than i expect for an entry level machine.,Positive
3105,the cpu and memory usage were at 100% with just one tab of google chrome open.,Neutral
3106,you can add another 4gb ram stick for 20 bucks and 500gb ssd for 50 bucks.,Neutral
3107,"this pc comes with a 4gb ram, but you can expand it if you wish to use heavier apps like myself.",Neutral
3108,i bought it hoping the graphics would be better than my 2-in-1 and i exclusively bought it for gaming hoping the graphics were better but they do the very very basics.,Positive
3109,"despite a slower than normal processor it runs like an 8 core. | graphics are amazing, interface is amazing.",Positive
3110,pretty fast for only 4gb of ram.,Positive
3111,"besides the low ram and storage space which can easily be upgraded, this computer should meet all your needs.",Positive
3112,***** disclaimer- i added 4 gb ram to it i had from another laptop.,Neutral
3113,also the cpu is fine for regular works but i cannot recommend it for playing games or some other graphical works.,Positive
3114,not going to be a gaming computer but can run your normal programs for work and access websites with no problem.,Positive
3115,"i wanted ssd, lit keyboard, decent processor and graphics plus it had to be thin and light. | when i read the reviews describing how easy it was to upgrade the ram to 8 gigs i was in. | i installed the samsung 4 gig stick of ram others have recommended in their reviews.",Positive
3116,added 16 gb of g-skill ram which boosted this acer aspire 515-43 to 2 gb of gpu - good enough for gaming on an inexpensive laptop. | note; on this model 16 gb ram is the sweet spot.,Positive
3117,"although the rtx 3070 is just 85w, the speed and overall performance of this laptop y incredible!",Positive
3118,the 4gb ram is adequate for my use.,Positive
3119,lots of programs downloaded on it and they all run great.,Positive
3120,"i code all day long sometimes running programs that max out the system, read .pdfs/webpages and watch youtube. | the keyboard is surprisingly responsive and tactile and does not feel crammed for its size. | when utilizing all system resources (running a really big program) the bottom can get a little warm but is not very noticeable or unbearable and the system remains stable with thermal throttling (lagging when the laptop is struggling with a big task but does not seem to lock up). | this does not feel like a dated chromebook and the mediatek processor is impressive for the price and battery.",Positive
3121,"super fast boot time on this macbook pro, with great extra storage (1 tb internal drive) with extra ram (16g), this year’s model 2022 with m2 chip.",Positive
3122,good processor for computer enthusiasts and windows s interface is pleasing.,Positive
3123,"this is not a screamer in performance, just very good speed. | the processor is a step up from base laptops.",Positive
3124,"has a powerfull procesor, perfect ram for everything, and i fell the quality just when open the box",Positive
3125,i added 16 mb ram.,Neutral
3126,"i wanted better performance than the usual budget chromebook, but i did not want to pay a premium.",Positive
3127,"wifi is fast, i have used it for programming and it can handle about 2/ 3 hours of programming before i have to charge it.",Positive
3128,"little lacking on the ram and hard drive but easily upgraded. | i added another 4gb of ram and a 500gb ssd hard drive, links below ($85.00).",Negative
3129,the only change i made to the system was adding an 8 gb ram drive onto the already installed 4. it was simple to do and very cheap.,Positive
3130,"if you are willing to give up an hour or two of battery life for 2 to 5 times the cpu power, then you are trying to decide between the lenovo c630 or the acer spin 13 (both models run rings around a pixelbook or pixel slate). | both models max out at an intel i5-8250u cpu, with which comes the whirring of a cooling fan at times. | both have the same ram, storage, and an ips screen (lenovo has a 15.6"" screen, the acer a 13.5"" screen). | why is a smaller panel priced higher than a larger panel for the same cpu, ram, and storage, you wonder. | my summary is: you live with the screen every second you attend to a computer, the keyboard less, and everything else far less (trackpad, cpu, etc.).",Positive
3131,for everyday use this is perfect for other tasks such as programming not yet.,Positive
3132,the product page describes a laptop with an intel i3/i5 4.1ghz processor and 8gb of lpddr4x memory.,Neutral
3133,i can download all of the programs i need to be successful in school.,Positive
3134,screen flickers when playing mildly graphics-intensive games.,Positive
3135,the special windows 10 system is ok. i would rather have the regular one so i dont need to download specialized programs specifically from the microsoft store.,Positive
