,Battery Sentences,Battery Polarity
1806,the battery life is great.,Positive
1807,"this acer has blown me away with the performance, screen quality & battery life.",Neutral
1808,have not to this point tested battery life.,Neutral
1809,"i love how this laptop works, great running, adequate storage even for gaming and runs quick and easy with great battery life.",Positive
1810,"but i also write and read a lot, and some programming, so the long battery life is very useful.",Positive
1811,battery life is great.,Positive
1812,"the battery life is at least twice what the 2017 was, the screen is much better, the keyboard is better, the overall size of the computer is smaller and i love the larger haptic feedback touchpad.",Positive
1813,"easy set up and decent battery life, very responsive with no lag.",Positive
1814,"the battery lasts a very long time, i have had it for 6 months now and the battery still acts like new!",Positive
1815,i will be getting the 80 watt battery to give it the power boost it needs to really open it up.,Neutral
1816,"the battery life is next level. | over all it is more powerful, cooler and the battery lasts longer than ever.",Positive
1817,if the battery life were a bit better i would give it five stars.,Positive
1818,"do update as soon as you can,after that it is very fast, and has decent battery life",Positive
1819,"thin, light weight, excellent battery life & more.",Positive
1820,"i cannot say how long the battery lasts yet but, for my immediate purposes, everything has been great to date.",Positive
1821,battery life seems pretty good.,Positive
1822,"i came with a bad battery. | we should get it back with a new battery and tested as working, but it is going to take over a week to complete.",Negative
1823,"going from a large laptop, i needed something for web apps only (email, accounting, documents, etc) and wanted something more than a tablet but less than a full blown laptop, and most important, very good battery life.",Positive
1824,battery life (with average use) has been around 8 hours.,Negative
1825,"i only wish the battery life was a little longer, a sacrifice for the rtx 2070 performance.",Negative
1826,never worked since day 1 and hard drive has does 2 times already and battery 3 .. this is a very bad quality computer and shouldnt be put for sale.,Negative
1827,"very fast boot time, does not get too hot, charges quickly, and battery lasts about 5 hours of continuous use.",Positive
1828,battery life is not great.,Negative
1829,battery life seems pretty good.,Positive
1830,"highly recommend this laptop for writers or students, the full-size keyboard buttons are textured so you do not feel like you are typing on slippery wet chiclets and battery life is pretty decent as long as you are not connecting power-draining devices to the usb ports.",Positive
1831,"the only problem is the battery duration, but it is ok. excellent purchase.",Positive
1832,"battery life is so so, this is more of a ""portable computer"", than a ""mobile computer"".",Positive
1833,"i love my macbook, battery is so good.",Positive
1834,"the laptop is good, it has a tremendous screen, it is fast, perfect for those who use it for tasks and others, it overheats more than i expected, the battery lasts like 4 to 5, nothing to do with the 7 hours it shows in the description.",Positive
1835,"it catches my attention that it takes a long time to fully charge, but i have not used it without beign connected to see how long the battery lasts in daily use.",Negative
1836,long battery life (in-built).has all you need.,Negative
1837,it has very good battery life even while multitasking.,Positive
1838,"but beyond that, i do not see why i was stupid enough to spend this much money on a laptop... the battery life for me is eh, and do not even try installing steam or trying any games, it stutters like crazy.",Negative
1839,sure it is battery life is not particularly amazing (roughly 1-2 hours) but that is not why you should be buying this laptop for.,Positive
1840,"the m1 chip blows the intel chips out of the water in terms of loading speed, battery life, and ability to handle large logic projects with dozens of tracks, plugins, software instruments, and live recordings.",Positive
1841,the battery life is pretty short though without the charger.,Positive
1842,"good battery life, can get through a whole day without charging.",Positive
1843,love yes the real thing works good pretty loud honestly camera should be better for what it is worth battery life is pretty good,Positive
1844,"i bought this mainly because it is lightweight, portable, has a long battery life, and can put out when it comes to gaming (high to ultra graphics on aaa @ 1080p).",Positive
1845,the fan is loud and battery life is low but that is expected with a dope azz lappie top.,Positive
1846,"very fast, great battery life, and keyboard felt amazing.",Positive
1847,"it boots up pretty fast and works really well, battery life is a bit short though",Positive
1848,"nice, solid little chromebook; long battery life, usb-c and a connections.",Positive
1849,"also there is no touchscrean, and the battery drains fast.",Positive
1850,"only used a couple days will update later but so far the battery life is so good, the screen is godly, and the keyboard is so much better than the 2019 version.",Positive
1851,"this is absolutely ridiculous, 3 hour low battery life and will not connect to wifi",Negative
1852,"i would highly recommend this laptop to any college student on a budget looking for a light, professional looking laptop with a great battery to boot.",Positive
1853,battery life is excellent. | i have it set to sleep mode when i close it and it does not really seem to use any battery when it is that way.,Positive
1854,"first of all, battery life probably lasts only 4 hours max.",Positive
1855,the keyboard backlight is a handy feature the only down side is that the battery dies quicker under heavy workloads when compared to other and older models.,Positive
1856,"love the laptop, great screen, easy to upgrade ram, battery died 4 months after purchase, have to return the laptop to repair and pay about $40.",Positive
1857,"no complaints only some minor picks such as it is not 4k only 1080p ,touch screen is somewhat not that fast but it does suffice for the price paid,love it is a 2 in 1 convertible chromebook,battery is pretty descent, sound is not dolby material but with the right headphones,you have dolby sound,etc...",Positive
1858,"just one thing makes me mad, the battery depletes way too fast.",Negative
1859,"i have had a couple lenovo laptops over the years, and would not continue buying them if they werent great... but they have horrible horrible horrible battery life. | i keep mine tethered most all the time, but its amazing how quickly the battery will go, and it can go from telling you you have 35% battery life left, to suddenly shutting down because of no power. | its poof, and its out of battery again.",Negative
1860,"i needed a mid-range laptop that had good battery life, solid and light build quality since i will be on the go, a strong cpu and gpu since i will be doing cad and maybe even some light gaming, and of course a good price.",Positive
1861,the battery is very good and touch screen is very responsive.,Positive
1862,"i tried a 2 n 1 tablet thinking it would work but even with a quad processor it is so slow and the battery lasted 1.45min. | this battery lasts 7-10 hours, full chromebook so very fast, and the 180 hinge makes it perfect.",Positive
1863,"i was a bit skeptical about the brand acer as i have always used dell or asus machines but this laptop has performed quite well considering the price i bought it for ($349.99), for that price you get a decent machine that has sturdy build quality, great battery life approximately 6 hours as indicated by the supplier (which is better than my $650 asus vivobook laptop that i bought 3 months prior).",Positive
1864,"i cannot find anything wrong with this machine — fast, responsive, able to run all apps i need/want, looks good, durable, awesome screen, great battery life, super fast boot, and... amazing price!?",Positive
1865,"frequently updated, good battery life, runs smooth with seldom freezes.",Positive
1866,so light and sleek and tbh the battery m1 is insane,Negative
1867,however la battery life is not the better during approximate 6-7 hours also always heard a sound charging.,Positive
1868,"this one hit what i was looking for...flip screen, touch , battery life and sleek looking.i love the white. | the battery life is great.",Positive
1869,the battery also sucks.,Negative
1870,"i do wish the battery was better, but i can normally get through roughly 6 hours of work before it dies.",Positive
1871,great battery life as i am using it from past two months.,Positive
1872,battery life is more than sufficient and i often do not even need to take my charger with me when i am out all day.,Positive
1873,i have been using my computer for two days and still have 60% battery life.,Neutral
1874,"it is very quick, the battery life is good 7-8 hours generally.",Positive
1875,battery lasts a while depending on what i am doing and charges very quickly.,Positive
1876,the battery life has been average 9-10 hours which makes me extremely happy.,Positive
1877,"this is really great laptop but by design it is meant to slow down performance when on battery power which is normal for many laptops, however either acer or amd makes it way too slow for that and unlike some laptops there is no setting provided that allows you to change this.",Positive
1878,"so far, the only two downsides are the battery life and the size of the power adapter.",Positive
1879,only complaint is that the battery only lasts about 5 hours tops so it needs to constantly be on charge.,Negative
1880,either an issue with the battery or charging port because it would always disconnect.,Neutral
1881,"i purchased this laptop last summer (~july 2020) and for the past year, has been pretty much what i expected for it is price- the battery life is solid, it is light and portable, has a nice screen.",Positive
1882,battery life is only 3 hours but that is ok since overall performance is excellent.,Positive
1883,"this laptop was purchased to replace one purchased in 2013. i was not unhappy with my 8+ year old machine, but disk access had slowed down with fragmentation, and the battery needed replacement.",Positive
1884,i have had this laptop for over a year and it is already having battery problems.,Neutral
1885,the battery life is adequate.,Positive
1886,"checked and found battery exhausted, then the cause is a dead charger.",Negative
1887,"it is 1 of those laptops that you took the battery out to restart, only now you push every key with your palm to get it responding, has to be much better one for half the money out their",Positive
1888,"the battery is pretty decent, it boots up pretty quickly and runs the applications she needs smoothly.",Positive
1889,"only issue with laptop is battery does not last seven (?) | the battery life is more like 5 or 5+ hours on a full charge based on how much and what you are working on. | i do not use it plugged in as i know that will reduce effectiveness of battery life. | times as battery winds down: 11:04am 97%, 12:27pm 77%, 1:49pm 57%, 2:48pm 44%, during this time i had 3 windows open, one playing podcast.",Positive
1890,"only thing is that it eats up battery but since most people are going to use this laptop to game, it is only customary to keep it plugged in.",Positive
1891,i tried following their support suggestion of resetting the battery using the tiny button in the back but it made no difference.,Neutral
1892,love the long battery life.,Positive
1893,the battery status sometimes drops suddenly (e.g.,Neutral
1894,"i say portable, but at a very dense 5lbs (feels much heavier) and with a 4 hour battery life, it is not a typical laptop.",Positive
1895,the stupid thing is the battery cost $50....the chromebook is only $80 right now.,Negative
1896,"i was excited to get a brand new computer, and i am very disappointed in the battery life, it only lasts about 4 hrs. | the computer itself, with the touchscreen is nice, but the battery is very disappointing.",Negative
1897,"i juat love it, u can run even the newest games on ultra, but the battery last less than i was thinking but, depends on how much u play",Positive
1898,runs quick and has a good battery life.,Positive
1899,the battery life is amazing.,Positive
1900,"quick, backlit keys, crystal clear display, decent sound, and excellent battery life.",Positive
1901,"great laptop, do not like that it does not have a capslock, still getting used to that, battery really lasts a long time. | i have a 9 hour shift daily and battery is still going strong at 7 pm.",Positive
1902,went to try...it does not turn on...maybe the battery is dead ok...went to get the charger aaaand there is only half of it in the box!,Negative
1903,tried a few days later after the battery died.,Negative
1904,"very snappy, quiet, cool, long battery life, fantastic keyboard (those butterfly switches were a mess) oh and the touchbar, i love that thing, did not think i would use it a lot but here i am using it a lot it is an amazing laptop, the only laptop i would ever recommend anyone get (besides the macbook air)",Positive
1905,"this laptop has fantastic battery life, very powerful processor, very good graphics card and i am very satisfied with it.",Positive
1906,"battery life is fantastic, screen is nice and large, mouse pad is perfect and the unit is very light.",Positive
1907,the battery is simply horrible.,Negative
1908,"small and powerful, dreadfully battery life when running any type of game",Negative
1909,"the screen is beautiful, keyboard is easy to use, battery lasts a good while, it is light , it is portable and it is quite thin.",Positive
1910,"it has great battery life, good for gaming but the camera and microphone is lacking.",Positive
1911,"by far, after al most 3 months of use is working well, the battery does not last as much as it says buy is fine, 3 to 4 hours the moust!",Positive
1912,"finally, the battery life was advertised to be 17 hours, which is obviously exaggerated given this laptop has a dedicated graphics card, but it seems to fall shorter than expected. | when the laptop puts to use the gpu, rtx 3050 ti, the battery life drops significantly to at most, 3 hours, at worst, 1 and a half. | while normally browsing and video playback, the battery life lasts at most 13 hours on battery saver and 7 on the median battery options.",Negative
1913,"the battery can last up to 6:30 hours when i was just browsing the web and taking notes, with the screen dimmed and on battery saver mode. | best battery life mode, heavy tasks, and high brightness will probably land you more like 2-3 hours to drain to 0%. | altough really you should only run the battery of any lithium ion down to 20-30% before recharging to get the best lifespan.",Positive
1914,"the battery life lasts a good while, around 5 hours with a good charge.",Positive
1915,"ever since i got this, my battery life is terrible, the bottom gets hot and it has weird issues.",Negative
1916,battery life is good.,Positive
1917,"the battery life, however, is kind of short.",Positive
1918,battery lasts forever!!!,Neutral
1919,after 5 months the display will not turn on i tried troubleshooting and resetting battery nothing works.,Neutral
1920,"the battery does not last for a half day of zoom calls, with some breaks in between.",Negative
1921,"the 8 gigs 8s good enough for day to day task, plus the battery is unbelievable.",Positive
1922,"battery life is great, i only got this to do minimum work on but so far it has been been starting fast, battery life is long, the set up was easy!",Positive
1923,battery life and standby time is solid.,Neutral
1924,the battery did not deplete.,Neutral
1925,i ordered this laptop just for browsing the web and to bring it wherever i go and this acer laptop has been very good in battery life and with its ryzen processor which has a lot of power brings the laptop to a 5/5 for me.,Positive
1926,"i found the laptop to be draining the battery quite fast. | even when the lid is closed, it should go to sleep mode and it does, but it still runs in the background it seems because when i put it on in the morning half the battery is drained.",Positive
1927,holds a good charge and allows for extended used running on battery.,Positive
1928,"battery life is excellent, i run the acer care software and limit the battery charging to 80% to save it.",Positive
1929,"battery life was quite good, my kid use it for online school for 4-5 hrs no problem.",Positive
1930,we took our chromebook on a long road trip and the battery lasted the entire trip and then some!,Negative
1931,laptop is great for the price but battery life suck i suggest you keep it on the charger,Positive
1932,15 hr battery life is more like 10 because of wifi and brightness.,Positive
1933,"last, the battery issue. | the battery indicator worked sometimes, and sometimes it was nuts--like it showed amber when it was almost full, or it reported it would be fully charged in 22 minutes when it was in the high eighties (something like that) but reported it would take 40 minutes of charging to top it off when the meter said it was at 94%. | hopefully the battery issue will disappear if the hacker leaves it alone, but i believe my last laptop would have lasted longer if he had not messed with it all the time, so we will see how this one survives.",Positive
1934,battery life has been outstanding so far.,Positive
1935,"i do know the battery life is great, it is fast, and i have no complaints at all.",Positive
1936,"computer started heating for no reason, the battery life was gone in 3 months to 3-4 hours of watching a movie instead of advertised 11 hours (which it did for about a month).",Neutral
1937,this computer has both usb and hdmi ports and has a decent battery life.,Positive
1938,battery life is unbelievable.,Negative
1939,"i love the battery life, i have only charged it 4 times.",Positive
1940,"the screen is bright and vivid, and even on full brightness the battery lasts for hours on end.",Positive
1941,it will work great for school although my battery is having trouble giving me accurate readings on how much life i have left. | i think its safe to say power saver mode gets you 3 and a half to 4 hours of battery life.,Positive
1942,battery life is awsome!,Neutral
1943,"however, i disliked the battery life on it.",Negative
1944,"only cons are the battery life, which if you are using as a dedicated gaming machine should not be a problem if you stay plugged in, and the speakers can sound a bit tinny at times, but if you use headphones this should be no problem.",Positive
1945,"moreover, unless you are plugged in, the battery drains really fast. | this is good for some games like call of duty, but when running a simple game like minecraft, the battery would drain at the same speed as complex games.",Positive
1946,i am enjoying the increased speed and more up to date features as a bonus — especially longer battery life!,Positive
1947,"snappy performance, android apps worked great, battery was otherworldly.",Positive
1948,battery lasts easily all day and sometimes two days.,Positive
1949,"great battery life, and fast charging.",Positive
1950,"time will tell if the battery swells up and distorts the case like all of the more recent 1-2 year old ""thin"" series msi laptops we bought at the office have been doing (owners are rethinking msi for future business laptop purchases due to these repeated battery issues causing downtime) but if this personal one holds up as well as my 7 year old msi did and the battery does not blow up i am happy.",Positive
1951,"quiet fan, backlit keyboard, ssd, great battery life, great design--thin, narrow bezel, brushed metal lid, durable hinges.",Positive
1952,"have not had a problem yet, good quality, works fast, light weight and good battery.",Positive
1953,"battery overheats, wont charge, will not boot, complete waste of money.",Negative
1954,"the only caveat is that the battery live is not very good, so if your planning to bring this places you might want to look somewhere else.",Negative
1955,"i love the backlight on the keyboard..i saw some people complaining that the backlight will turn off if you are not touching the keyboard, but that is for battery saving purposes, so it is fine. | battery life could be better, but it is still good.",Positive
1956,although laptop is known for gaming the battery lufe is lacking...wish it had a bit more speed and power,Positive
1957,"the battery life, sadly, was sub par for me. | i tinkered with settings to try to help the issue, but in this day and age, i feel like i should not have to reduce everything to the bare, bare minimum to squeeze out 4 hours of battery life.",Negative
1958,"this laptop is a awesome purchase... upgrade it with 16gb and installed an 1tb hdd, very smooth limited bloatware and it comes with 1 month of office 365.. you would have to install your own antivirus program (does not come with one) but this laptop fast with the upgrade... just a bit disappointed with the battery life, despite changing the settings it will still be 4 hours not ""7"" as claimed.",Positive
1959,"while this change saves battery life it also impacts the performance of the unit significantly (particularly when used for internet calls, aka zoom calls, as the graphics processor was downgraded in tandem).",Positive
1960,"excellent for gaming, runs quite hot but that is to be expected, only thing that disappointed me was the battery covers the 2.5 bay.",Positive
1961,good battery and light weight.,Positive
1962,said it was all she needed for her last year in college battery life is awesome.,Positive
1963,"it features solid battery life, lightweight design, and has the look and feel of a computer that cost $500 or more.",Positive
1964,"battery last over 8 hours and it can be charged with a usb c. do not expect a powerhouse, working with graphics and playing games is out of the question. | the portability and battery life is a huge plus.",Positive
1965,"well worth the price and the battery life is nuts, i can get 2 days easily out of this in one charge with just browsing and document editing.",Positive
1966,"if i stream a low-res video on my hp laptop for 3 hours, while running nothing else, the battery runs out completely.",Positive
1967,great battery life and no problems so far worth the purchase,Positive
1968,in fact i just found it does not even have a battery that you can take out.,Neutral
1969,"it is a great product, the battery the best of all, i charge it every 2 days with heavy use.",Positive
1970,"everything is fine with almost games, but i play forza 5 with my 8gb ram not enough with this game, also there is main problem with this laptop the battery is bad with the games",Negative
1971,"also, the battery life is not that long.",Negative
1972,the battery life is amazing!!,Positive
1973,"i love the matte screen, which means there is little light reflection off the screen, and i can afford to lower the screen brightness and save battery.",Positive
1974,"he is pleased with his purchase, the touch screen is precise, has an excellent battery life and brightness.",Positive
1975,"i have not actually timed the battery, but it lasts several hours and recharges quickly.",Positive
1976,"i have used, tested its capabilities and battery strength for the the best part.",Positive
1977,"my battery is dead. | i have had issues with blinking orange battery lights (i did the fix, but it is something that happens often). | i tried to use my laptop today (after plugging it in to recharge yesterday) and there is zero battery.",Negative
1978,only thing i do not like is the battery dies quite easily.,Positive
1979,fair battery life.,Positive
1980,"the battery drained a little faster than i had hoped, but it is fast and the flip feature that turns it into a notebook is awesome.",Positive
1981,the battery life is a joke and the audio system is weak. | but it is not worth it for a battery that does not even last 3 hrs in battery saver mode.,Negative
1982,the only real drawback i have found is the battery. | battery lasts maybe 3 to 4 hours before it needs to be charged. | i wish it had a 12 hour battery so i did not need to be plugged in all the time.,Positive
1983,i just have to keep it plugged in because i cannot find a good battery replacement for it.,Positive
1984,"battery life is so bad, i use for school so the most i use it for is only research and microsoft and that drains the battery so bad.",Negative
1985,"added 4 gigs of memory, runs great, battery lasts for hours.",Positive
1986,the m1 battery life and performance is quite impressive for a laptop for this size and price.,Positive
1987,"as with all apple products, battery life is a huge issue. | just wished it had more battery life",Positive
1988,"quick, backlit keys, crystal clear display, decent sound, and excellent battery life.",Positive
1989,certain things no matter the settings makes it frustrating from the way it clicks while scrolling to the battery dying in 40 minutes when it is a laptop and today i just found out every update and setting did not matter it says there is no camera and it will not work,Negative
1990,i get roughly 3.5 hours on battery life and a bit more if i lower the brightness/change power settings.,Positive
1991,"battery life is okay, but it is a laptop and they all die pretty quick.",Positive
1992,)and it will not turn on i thought it was the battery charger so i finally bought a new one i barely even used it since it was not working but finally wanted to since i have been facetiming a lot and i rather not use my phone what a piece of junk!,Positive
1993,"the amd ryzen 5 chip gives this laptop great performance and battery life. | also, it really does not get hot nor draw much battery during operation.",Positive
1994,keyboard is backlit and battery life is acceptable at a tested 4.5 hours at full brightness.,Positive
1995,i love this laptop it is very light it is very thin the screen is a great size not too big not too small the battery life is great mine did not come with the touchscreen but i really do not have a need for it the keyboard is perfectly fine i highly recommend this laptop i cannot say anything bad about it would buy it again,Positive
1996,"very well built laptop and runs smoothly so far, battery dies pretty quick.",Positive
1997,the battery life is great too!,Positive
1998,for normal use is great but the only bad thing the battery for mobility.,Positive
1999,all day battery use.,Neutral
2000,before you buy do you research it is a good laptop but many people have had problems with the battery stops charging within the month i had it i had to send acer get it fixed bummer.,Positive
2001,there goes the battery.,Neutral
2002,the screen quality is excellent and the battery life is great.,Positive
2003,"i rate it 3 because eventually (not even a year after), the battery runs low very quickly.",Positive
2004,cannot really comment too much on battery life.,Positive
2005,it is a really good computer for me to use everyday and the battery life is good too.,Positive
2006,"it is 3x faster then my previous laptop, the battery lasts all day and after 4 weeks of using it everyday, i have only heard the fans turn on once.",Negative
2007,battery life seems to be at 6.5 hrs.,Neutral
2008,the battery life is more than adequate.,Positive
2009,battery life is ridiculous.,Negative
2010,"the keyboard does not stay lit, but i figure that is to conserve battery life so i am okay with that.",Positive
2011,"however, so far the battery life is going a little quicker than i would like.",Negative
2012,it is great for the price but the battery doesnt last long at all.,Positive
2013,i ordered this laptop just for browsing the web and to bring it wherever i go and this acer laptop has been very good in battery life and with its ryzen processor which has a lot of power brings the laptop to a 5/5 for me.,Positive
2014,the battery is a little weak though which is worth noting.,Negative
2015,"bought this to replace an xps 17 9700 (i7-10875h, 32gb ram, 2tb ssd, rtx 2070 max-q) and while it is not a fast (probably 85% for davinci resolve exports, 90% for after effects, equivalent on those games that will run on windows or macos like the tomb raider series) the battery life is significantly better.",Positive
2016,"other wise so far so good, the battery life so far seems to be working just great.",Positive
2017,"i love the backlight on the keyboard..i saw some people complaining that the backlight will turn off if you are not touching the keyboard, but that is for battery saving purposes, so it is fine. | battery life could be better, but it is still good.",Positive
2018,"only thing is the battery life is pretty bad if you are gaming, so it needs to be plugged in if you plan on gaming for more than 2 hours.",Positive
2019,"it is very light, easily stuffs into my already overflowing backpack and the battery life is superb.",Positive
2020,"it is faster, good battery live and ease for her to use.",Positive
2021,"it has great battery life, the sound quality is good and it gets my kids homework done.",Positive
2022,"this acer has blown me away with the performance, screen quality & battery life.",Neutral
2023,great battery life.,Positive
2024,the battery life is similar to my previous laptops.,Negative
2025,"in addition, the battery life will easily last a day of school.",Neutral
2026,it is fast a nd has a good battery life.,Positive
2027,my only real complaint is the 60wh battery only gives me about 3-4 hours of use with a slightly dimmer than normal screen if i am using autodesk or adobe apps away from my desk.,Negative
2028,battery life is decent.,Positive
2029,"it does seem to have a good gpu, though it does have trouble staying cooled and does not seem to have the 16.6 hour battery life as advertised.",Positive
2030,"it is sturdy, battery life is good, screen quality is good, it is definitely a solid b.",Positive
2031,"for my job as a traveling salesman this thing is perfect with battery, functionality, and weight.",Positive
2032,this laptop is perfect for mobile users that want a fast processor with plenty of ram and good battery life without the need for power hungry discrete graphics.,Positive
2033,i unboxed it and plugged it in to find that the battery will not charge above 38% and it immediately powers off when unplugged.,Neutral
2034,the battery life is exceptional.,Positive
2035,the battery is even decent. | on a full battery i made it six hours before i had to plug it in to charge.,Positive
2036,"thought we fixed it by altering some battery settings, but it came back again 1 month later.",Positive
2037,battery life is good and processor speed is plenty fast for normal web surfing and basic office tasks.,Positive
2038,if i leave the laptop plugged in until fully charged the battery will eventually run out of juice despite still being plugged in.,Neutral
2039,"battery stopped charging in 31 days . | they replaced the battery had it shipped back pretty quickly with a letter in the box saying i had a 30 day warranty on the repairs . | its been a couple of months since repairs, fingers crossed the battery last a year .",Positive
2040,"the screen resolution is good, the boot up time is low, and the battery life is much better than my previous laptop.",Positive
2041,"as stated by many other reviews, the battery life is not the longest but this fits the bill for me.",Positive
2042,"i have an asus zenbook duo that outperforms my macbook pro's at a fraction of the price and this flip that is my go to device because of its extremely good battery life, build quality and price.",Positive
2043,"i am not an expert so i am not going to delve into specs and whatnot but 4 ram is a bit low (you can start noticing it when having multiple tabs of a navigator and running a couple financial softwares in the background, although still very decent performances) and looking at youtube video to upgrade the ram looks annoying and i would hate to break of the back frame or that battery connector.",Negative
2044,"excellent battery life, beautiful screen and great sound quality.",Positive
2045,i will say it could be because i use it for cpu intensive activities like music production and gaming but the battery life seems to be pretty short.,Positive
2046,not a gamer so battery life is something i never have to worry about. | battery life was amazing for the first 2 weeks but i can tell now the battery has been dying slightly faster but i believe it is from how much i have been on it lately but if i put it down for a few days (most likely 2) battery life hangs in there.,Positive
2047,"it is lightweight, portable, easy to use, great battery life, love the touch screen, etc...",Positive
2048,"it is very light and the battery life is incredible, i have used it for two days at times with no charging.",Positive
2049,battery life never an issue.,Neutral
2050,"the battery is awful, on a full charge i only got 1 hour of continued use.",Negative
2051,the battery life is surreal.,Positive
2052,"fastest performance , long battery life, lightweight,compact, great security features, too many things to list but then it is an apple!",Positive
2053,the only things i can say for it are that it is lightweight and the battery life seems to be good.,Positive
2054,"battery life is actually pretty great, too.",Positive
2055,loaded manjaro architect with the latest kernel and get battery life of 6 hours!!,Positive
2056,i was told i was going to get a new battery sent to me because every since i have the laptop it will only turn on if it is plugged in to the wall and i never received a new one..,Positive
2057,"bought for my nine yr old homeschooler and he loves it, battery life is better than expected.",Positive
2058,the battery life is excellent and charges fast.,Positive
2059,battery life is so so.,Neutral
2060,i bought this computer on another account that is why it will not say verified but i have been using it over 2 weeks already and it is amazing it has a rgb keyboard if you have the keyboard light on all the time without with charging it will drain pretty quickly but i am a user that has it connected all the time one thing that i love from this is that you can limit the battery limit so the battery last longer and you can also calibrated it every 3 months.,Positive
2061,it works fine battery life is horrible from fully charged to dead in 30 minutes.,Negative
2062,the battery is kind of small and runs out pretty quick but even so the laptop is nice.,Positive
2063,battery life is not long under and type of gaming.,Positive
2064,speed and battery life greatly exceed expectation.,Positive
2065,the battery seems to be quite good.,Positive
2066,"the machine also has an empty slot for a 2.5"" drive, which is useful for those that need lots of cheap storage on board, but using that would reduce battery life.",Positive
2067,i think the battery is not working properly.,Neutral
2068,"i would say that the laptop is not very portable as the battery life is not great however as someone who always keeps it plugged in, this is not an issue for me.",Negative
2069,"small size makes it very portable, 10+ hour battery even more so.",Positive
2070,the only downside (and this is very minor): you quickly run out of battery while gaming.,Positive
2071,"spec is 12 hour battery, light use shows 8 hours. | click on the battery icon on the lower right and the popup screen will tell you how much time is left based on the current program load.",Positive
2072,"the battery life lasts for about 4-5 hours, but if you are going to do some heavy tasks for awhile like photo editing or 3d modelling, i would suggest keeping the laptop plugged in since it also gives it a boost in performance when plugged in.",Negative
2073,battery life not what is stated.,Neutral
2074,"i was looking for a laptop that was easy to use, light and portable since i live in a apartment with wife and 2 kids there is no space to have a full blown desk so i needed something small and fast and this new macbook air is perfect, i love everything about it, battery life is great but then again i mostly use it for light web browsing and email checking nothing heavy",Positive
2075,"i bought this laptop to play sims 4. the battery only lasts 2 hours if i play sims 4 with no interruption and the laptop gets warmer. | if i use it for another tasks like searching the web or editing documents, the battery lasts over 5 hours and remains cool. | the performance is perfect but the battery does not last if you are a gamer like myself.",Positive
2076,"the battery can last up to 6:30 hours when i was just browsing the web and taking notes, with the screen dimmed and on battery saver mode. | best battery life mode, heavy tasks, and high brightness will probably land you more like 2-3 hours to drain to 0%. | altough really you should only run the battery of any lithium ion down to 20-30% before recharging to get the best lifespan.",Positive
2077,battery life was also only going up to 95 even when plugged.,Neutral
2078,and the battery life is amazing.,Positive
2079,from setting up windows and getting office installed it took 33 minutes and the battery went to 52%.,Neutral
2080,"amazing display, longer battery and faster logins then windows.",Positive
2081,the battery life is garbage.,Neutral
2082,"five years of support, awesome hardware, portability, plus very good battery life for $129?",Positive
2083,but in others i am 120 battery seems to go very fast. | so that may be killing the battery quicker.,Positive
2084,only thing i do not like is the battery dies quite easily.,Positive
2085,"great screen quality, good speed for most activities, terrible battery life (it lasts about a 45 minutes now with full battery after a few months of using it), and cannot handle most games.",Positive
2086,excellent battery life.,Positive
2087,"battery life is fairly long, but cord is very long.",Negative
2088,battery life is awesome too!,Positive
2089,battery life is amazing.,Positive
2090,"i went through the beginning charges of the battery as the included pamphlet recommended, and i now get around 8 hours of usage before having to recharge it.",Neutral
2091,"well, i mean you could use this space to implement a larger size battery.",Negative
2092,"first off, the battery life doesnt last at all.",Positive
2093,"good quality, so far the battery life is very good.",Positive
2094,"i bought this laptop about 2 weeks ago and it came with a defective battery, it takes a long time to charge and when it reaches 100% and i start using it with the battery, immediately begins to lower the percentage, even being in saving mode does not hold an hour of use, when in the specifications says it lasts up to 10 hours, i contacted the seller and only told me to contact dell directly, call dell as requested but only transferred me from one place to another and never made me the replacement.",Positive
2095,battery life is good at max brightness and running tabs it lasts 3.5-4 hours for me sometimes a little less but a small step up from what i had.,Positive
2096,"the performance has been great: great response time, great graphics, great battery life.",Positive
2097,i am a home health rn and need a laptop with at least 12 hours of battery life & something small enough to carry around. | the battery lasts well over 12 hours with non-stop usage. | 10/10 would recommend for those who need a quality lap top with high battery life & light/easy to store.,Positive
2098,"also, you cannot get access to change or remove the battery.",Neutral
2099,battery life is about 12 hours.,Neutral
2100,"the battery life is great, it is light weight, and is pretty fast when loading programs.",Positive
2101,lightning fast and super battery life.,Positive
2102,"the battery life is just atrocious, i used it one day for regular use (writing and browsing. | no gaming or movies) and the battery did not even last 3 hours! | the battery gets crazy hot from regular use, so you hear the fan turning on every 10 min or so, which is quite annoying. | its sleeker, nicer, lighter, better performance, i am not sure about battery life yet, but so far it has been 10 steps ahead than the hp in every way.",Negative
2103,"hyper portability, ridiculously speed and responsiveness, and a very robust battery are some of the highlights of this little mac. | it is up and running from sleep as fast as a smartphone wakes, the trackpad + gestures make me forget i do not actually have a touchscreen here, and the m1 manages battery draw like nothing i have ever seen in a laptop.",Negative
2104,very thin laptop and decent battery life so far.,Negative
2105,really good battery life and charges up great.,Positive
2106,the battery life is decent.,Positive
2107,"great laptop , battery drains quickly however but besides that great laptop!",Positive
2108,the battery life is good.,Positive
2109,a good battery rating is important to me.,Positive
2110,"i expected to be blown away, and while this is an excellent apple laptop, and the battery life does live up to the hype, i overall i found it disappointing compared to the reviews.",Positive
