,Review,Rating,Audio Sentences,Audio Polarity,Audio Descriptors
5429,"had all the features i wanted (3 x usb & ethernet), decent sound and ssd. my first gaming computer, have to get used to the keyboard layout, since it is slightly different from a normal keyboard (some keys smaller than normal).",5/5,"had all the features i wanted (3 x usb & ethernet), decent sound and ssd",0.28,['']
5430,"this is my newest laptop since 2017, but the laptop i had was from 2016. far faster than my old one (of course) and runs every program to its max. for gaming a 3050 ti is limited to mostly 1080p gaming unless you play some of the lighter games where you can eek out 144op, but you can easily get 120fps on most games with some tweaks with around 70 to 90 fps on larger aaa titles. one of the first things you have to do with any acer laptop is go into control panel and change the power settings, they come standard with usb and hdd/ssd auto power off which pretty much puts your laptop to sleep whether you change sleep settings or not. also, press the (n) button by the num pad, click on the gear icon, and click to make the keyboard backlight stay on. i read some reviews online that said the keyboard backlight would turn off automatically, luckily my last laptop was a acer predator and they have the same settings basically. fans are almost non existent when just browsing and you can control them (finally) when doing some intense gaming (or using programs like cad or the like). also, the power cord is a dual step process, the first click means nothing, you have to push in till you hear a second click. i was looking for a 17"" inch laptop with more than 2 usb a ports, those ports not on the right side (mouse interference), could game at atleast 1080p/above 60 fps, a better processor, and had a ethernet port. sounds like alot but most laptops are 15"" inch with 2 usb a ports and no ethernet ports now. i am satisfied with this purchase.",5/5,"sounds like alot but most laptops are 15"" inch with 2 usb a ports and no ethernet ports now",0.5,['']
5431,"i bought the i7 version of this laptop expecting it to perform, well, not as good as other laptops, due to the lower price. however, i was absolutely blown away by how fast it is, running games or even just using it for work. the image quality is fantastic, you can also easily connect your gamepad and play whatever you want at max. i did not pay attention to the speaker sound though, since i always use a headset. i loved this laptop! it is really an excellent choice.",5/5,"i did not pay attention to the speaker sound though, since i always use a headset",0.4,['']
5432,"the laptop itself is sturdy but the screen has an odd yellow tint to it that makes everything look a little off, also the audio without headphones is kind of bad mostly since it sounds like the speakers are on the bottom of the laptop but it works well enough, a little pricey for what you get though.",3/5,"the laptop itself is sturdy but the screen has an odd yellow tint to it that makes everything look a little off, also the audio without headphones is kind of bad mostly since it sounds like the speakers are on the bottom of the laptop but it works well enough, a little pricey for what you get though",-0.02,['of sturdy bad']
5433,"i liked the price of this gaming laptop. however, sound quality is an issue as is the graphics card. i bought it to be able to play mmorpg and got constant messages to upgrade graphics card. will be buying seperate computer speakers as the current ones i can hardly hear even at the highest volume setting.",4/5,"however, sound quality is an issue as is the graphics card | will be buying seperate computer speakers as the current ones i can hardly hear even at the highest volume setting",0.04,"['', '']"
5434,laptop showed up defective. it would not charge or turn on. i also could hear what sounded like a loose part rolling around inside the computer when tilting it.,1/5,i also could hear what sounded like a loose part rolling around inside the computer when tilting it,-0.08,['']
5435,"i bought the nitro with 17"" screen and intel core i7 processor not as much for gaming, but as a very up to date everyday computer. i do play some games and watch loads of videos, and the video quality is fantastic. sound is far superior than my last hp pavilion laptop. i like the lighted keyboard, but normally turn off the back lights since i am not thrilled with the red colored keys with white back lighting. i plug in a separate lighted led keyboard (where i can choose the key color and brightness). and mouse. for owners who are upset with the keyboard lights turning off so fast, you can set them to stay on longer in the computer settings or nitrosense window control setting.",5/5,sound is far superior than my last hp pavilion laptop,0.3,['far superior']
5436,"i see a lot of people complaining about the disk space and yeah, it is low for a gaming laptop but i just got me a 1tb m.2 ssd for $126 so i am not complaining. even with 8gb ram it seems to run smooth and work well also (though i am upgrading to 32gb). i cannot comment on the gaming bc i cannot install a real game until my ssd upgrade comes in but i am hopeful and i am happy thus far. it is important to note that to charge you have to push the cable in kind of hard until you hear the click sound, otherwise it does not charge. it took me a few minutes to figure that out. also, not a lot of bloatware installed so that is good too; it is unnecessary to use norton when you have windows defender so i would uninstall it along with dropbox. laptop is not very heavy and to keep it that way i am opting to not use the hdd bay and instead just use m.2 ssd instead. this seems like a quality product so far so hopefully it lasts as long as my last asus laptop did (6+yrs & still going). wish a blu-ray drive was included but not a deal breaker as you can buy an external slim one for around $100. highly recommend this system so far, just know you are going to need to upgrade the storage immediately before playing storage heavy games like wow, cod, etc hence 4/5 stars.",4/5,"it is important to note that to charge you have to push the cable in kind of hard until you hear the click sound, otherwise it does not charge",0.28,['important']
5437,"bluetooth does not work on this model with windows 11, it does not let you play sound through anything but the speakers. it tells you it is connected to the bluetooth for voice and music but automatically mutes the music and will not unmute unless you go back to speakers, or it just crashes if you keep trying to unmute. it does not let you uninstall drivers or remove devices, they just reappear when you restart, and eventually it will crash and shut down if you keep trying to get it to use the bluetooth for audio output. this is apparently a problem with windows 11 and bluetooth that has no solution. so if you really want to play music or whatever with your computer, stay away from windows 11 computers until they fix this problem. apparently it has existed for many months already though.",1/5,"bluetooth does not work on this model with windows 11, it does not let you play sound through anything but the speakers | it tells you it is connected to the bluetooth for voice and music but automatically mutes the music and will not unmute unless you go back to speakers, or it just crashes if you keep trying to unmute | it does not let you uninstall drivers or remove devices, they just reappear when you restart, and eventually it will crash and shut down if you keep trying to get it to use the bluetooth for audio output",0.08,"['', '', 'audio']"
5438,the laptop has a ryzen 7 processor and a 3050 ti for the price you honestly could not get a product that offers more than the acer swift x. i cannot recommend this product because the moment i turned it on the fan just started kicking in and would never stop. i tried pressing fn+f to put the laptop on quiet mode and the fan will slow down for 2 seconds before sounding loud again. i honestly cannot use the laptop to study because the fan noise is too distracting especially when you connected it to an external monitor.,2/5,i tried pressing fn+f to put the laptop on quiet mode and the fan will slow down for 2 seconds before sounding loud again,-0.09,['']
5439,"i will put this first. i am unsure if the ram or solid state drive is set or if you can upgrade them. i did not try to open or upgrade the item. these are the two things you should research before purchasing this. although with the current specification, i am sure you do not need to do that. this acer laptop overall is an average size laptop and the specification are not bad for what you get. this laptop is relatively thin and not too heavy. it has a decent processor (ryzen 7). the ram is 16 gb which is well beyond the suggested nowadays. it will definitely work for most daily usage as well as design and gaming. that being said, it is not the best in terms of battery life. it really only last about three to four hours at most on a full charge. the fan is a bit loud on heavy usage. it is a standard ac charger which can make it a bit annoying to replace in the future if needed. the power brick is okay but does get hot while charging. you will need it plugged in to really game on this device. upon boot up of the acer laptop, the laptop boots up fairly quick. the setup is pretty straight forward and does not require any driver installation. the bloatware is not too terrible. the laptop also has only a 14 inch screen with the max resolution at 1920 x 1080. the screen has an okay brightness but not the best quality. it still keep the traditional two usb port as well so you do not have to buy an adapter for this laptop while also having the type c (non thunderbolt) port. the laptop can be angled back for better viewing but it cannot be pushed back all the way. the laptop surface where the wrist rest is where i do not like the material. it looks nice with the bright silver but with long term use it will fade over time. the keys are okay, but not the best. i am not a fan of typing on them as it just feels a bit on the cheaper end. the external casing of this surface is very easy to scratch (seems to be an issue with all this material) so i would recommend that you get a laptop case for it. the trackpad runs pretty well, it is sensitive and feels smooth to move across. it also does not look like it will wear down easily which is good. there is a camera that will record at at least 720p. you could put a web cam cover on it. the dual microphone makes for a very clear voice and i have not had any issues with any sound issues. it usually does not pick up too much surrounding noise and focuses more on voice. on laptop, there is a 3.5 port to plug in headphones/microphone. it does have dual band wifi built in and no issues with speed/connection. the laptop itself can last about five to six hours or so on a full charge. depending on how much you have open and how much you utilize the laptop capability, you could actually have less than that. best thing to do is just balance the resource as best you can. the overall charge time depends but it can take up to three to charge the laptop to 100% from what i can tell. it is not too long and the charger does get hot so handle with care. it has a decent boot up being less than fifteen seconds to boot up but the bloatware has to go so i would recommend you uninstall that if possible. the speaker system is pretty loud but they do have a bit of a feedback noise that is a bit annoying but that is okay. the 3060 ti runs great! it is a very powerful card that allows you to game very well on this computer although the screen is only 14 inches. the fan also is a bit loud on high usage (gaming). the processor is an ryzen 7 which is more than enough power for what i need it to do on a daily. in terms of video games, it can play many games at very high quality although you do need to have it plugged in. the processing speed is really fast and it works really well for what i need. there is an hdmi port so you are able to connect this to an external screen. i am unsure if there is a dock that is meant for this laptop. overall this laptop is a a very powerful laptop. you get a smaller screen but the gaming on it is not bad. the acer laptop can run a bit hot and the battery life is not the best. the specification is not bad at 16 gb ram and 512 gb ssd drive. the space is decent for what i need it for but for gaming it will fill up fast. it is good for all around use and can easily be made into a work, gaming, or basic computer with a single monitor connection.",5/5,the dual microphone makes for a very clear voice and i have not had any issues with any sound issues,0.27,['']
5440,"has some good specs and good performance, but as others have mentioned the fan is way too loud. like this is a serious faulty issue. the noise sounds like they are grinding metal inside the laptop. returning immediately and likely getting a dell xps.",3/5,the noise sounds like they are grinding metal inside the laptop,0.0,['']
5441,"the laptop feels solid, it is thin & light + so powerful, it has great cpu with 8 cores and 16 threads + decent gpu 3050 ti . it means that i can edit my 4k videos with no problem. the keyboard is good, the screen is not glossy which is nice, sound quality is average. overall i am very happy with this laptop.",5/5,"the keyboard is good, the screen is not glossy which is nice, sound quality is average",0.39,['not good glossy average']
5442,"the first one i received had no sound out of the box, so it was exchanged for the next one. this one lasted a few weeks before it refused to turn on. while it worked it was a phenomenal laptop, although it ran hot enough to almost cook eggs. my it friend followed all recommended procedures to revive this laptop, to no avail. the first time it refused to power on, he pressed the reset button underneath for the battery, which worked. that was the last time this laptop ran. when i went through the return process, i chose the option to have a replacement sent, but apparently that option is no longer valid. time to choose another brand for the combination of cpu and video.",1/5,"the first one i received had no sound out of the box, so it was exchanged for the next one",0.02,['']
5443,"i bought this computer to use in college, i use some kind of heavy software like sketchup, autocad, photoshop and illustrator. and for these, the computer seems to be doing very well. i really like de design, cause products with similar specs are usually aimed for gamers and the style is usually very agressive an rough. i like that this one is extremely elegant. the sound has some issues, as i have read across other reviews, but i do not need this aspect to be perfect anyway.",5/5,"the sound has some issues, as i have read across other reviews, but i do not need this aspect to be perfect anyway",0.42,['perfect']
5444,"everything i would hoped for. so nice to upgrade to a beautiful mac from a crappy little lenovo i would been using quite reluctantly for the last couple years. i have only had the laptop for about a week now but everything seems to be running smoothly as it should. the picture quality is gorgeous and rich, again what an upgrade from my other laptop, and the sound has nice depth too actually. product is exactly as it was described and arrived to me promptly and packaged well. the battery life is not amazing but it is still good especially for being refurbished. overall i feel like i got a really nice new electronic for a great deal, and in a pretty color i have not often seen:)",5/5,"the picture quality is gorgeous and rich, again what an upgrade from my other laptop, and the sound has nice depth too actually",0.33,['and gorgeous']
5445,"i bought 2 laptop for digital classes, none of them worked with zoom. very slow, camera not working, sound unreliable. total crap.",1/5,"very slow, camera not working, sound unreliable",0.0,['unreliable']
5446,"i am sorry but it did not turn or charge no matter what i did, it was honestly a waste of my time and money. (i do not mean to sound rude though.)",1/5,(i do not mean to sound rude though,0.09,['']
5447,i bought one to use for my laser and it is just what i wanted! does the job well and battery life is pretty good for a long burn. it is super compact and light to take anywhere for those quick spur of the moment graphic ideas and get those ideas on the screen. it is all solid state and runs pretty cool. no mechanical hard drive that would eventually fail. boot up is also quick not allot of un-necessary software adds to slow it down. the screen comes up clean ready for you. speakers are pretty decent with the sound coming from underneath the computer. i did not buy it for games so nothing to say about that.,5/5,speakers are pretty decent with the sound coming from underneath the computer,0.27,['pretty decent']
5448,"i had this computer for less than 1 year, and already keys are sticking. sound was always low.",2/5,sound was always low,0.2,['low']
5449,great size clear screen fast as s*** but the sound sometimes has an issue the volume.,5/5,great size clear screen fast as s*** but the sound sometimes has an issue the volume,0.38,['']
5450,"so this was the first non high-end gaming laptop i have ever purchased, with the intent of using it as a cheap laptop to carry around for school, work, and general basic use. to be quite honest, it is surprisingly nice! after i got over the initial shock of downgrading to a 15"" display from my previous 17"", the screen is of good quality. the processing speed is not disappointing at all. the sound is great (it actually can get obnoxiously loud if you are into that). i do not find windows 11 to be offensive to use. keyboard is friendly. it seems to be built well and feels of decent quality (not super cheap feeling). it is light to carry. loads videos and webpages quickly. no crashing or general use issues as of yet. i have even run the full adobe creative suite on this thing and it is running just fine. i am really pleasantly surprised. and coming from someone who is used to a 5k+ alienware gaming laptop (aka me), the fact that i do not hate this thing is truly impressive enough. if you pressed me to find something i do not love about it, i would say the fan seems to run more than expected and the battery life is meh. it gives you zero warning before just shutting off after dying. but after the panic subsided that i had just possibly lost all my work, i plugged it in and hit the power button, only to be giddy with happiness that it just booted up with all my web pages still loaded and logged in the way i left it. so i am not even mad. no touch screen on my model. and i cannot attest to it is gaming abilities because, well, i have an alienware for that. seriously though, best spent $400 ever.",5/5,the sound is great (it actually can get obnoxiously loud if you are into that),0.33,['obnoxiously great loud']
5451,"my job is senior business intelligence developer and analyst, and i am working remotely. to say this laptop is good for students but not for business use is just false. i am able to do absolutely everything without lag and without issues. in my spare time, i also do music using soundtrap. i plug a usb keyboard and microphone/guitar interface into this laptop and i am able to create multi-track songs. my caps lock does have an indicator light that works, and i have zero complaints or issues. maybe some people are reviewing an earlier model? i purchased mine in february of 2022, and the os is windows 11 home. actually, i bought 2; one for me and one for a family member who does graphics with gimp. the laptops are great and we have no complaints.",5/5,"in my spare time, i also do music using soundtrap",0.0,['']
5452,"i am a college student and i purchased this computer about two weeks ago. the only purpose of this computer was to do homework, i do not download games, i do not even use social media on this computer, all i was supposed to do was homework. turns out i was not even able to do homework!!! it keeps shutting itself off and making loud and weird sounds, keeps showing a blue screen saying that “the device ran into a problem and it needs to restart”. i tried to contact customer support but they could not help me at all, i was trying to do homework and all of a sudden (after about 25 mins of homework) a blue screen shows again saying it needs to restart and it has been stuck at 43% for the past hour. worst computer ever! i am returning and never purchasing again!",1/5,"turns out i was not even able to do homework!!! it keeps shutting itself off and making loud and weird sounds, keeps showing a blue screen saying that “the device ran into a problem and it needs to restart”",0.14,['not do able']
5453,"i was desperate for a new laptop as my previous one died right in the middle of an exam for nursing school. i needed something quickly, but i wanted quality. i did a quick search to find out what i should be looking for in a decent affordable laptop and this checked all the boxes. i am so happy with my purchase. setup was a breeze, it took maybe 5 minutes, and maybe an extra 5 for the updates. the picture is crisp and clear, it has great sound, the keyboard is very comfortable and easy to read. i purchased the windows 11 version and have no regrets. i was pleasantly surprised to see that it has a thumb print reader for security and easy sign in. with the exception of heavy gaming, i cannot imagine there is anything that the average user would not be able to do for work or for school. i am very pleased with my purchase and would definitely recommend it.",5/5,"the picture is crisp and clear, it has great sound, the keyboard is very comfortable and easy to read",0.42,['very and crisp comfortable']
5454,this is my 3rd hp laptop and my first windows 11 pc. i bought it to replace a 5 year old windows 10 hp stream that i have kept up to date. i will be using this mostly for web browsing and streaming video and can truly say i am amazed by just how much faster this is. video and sound quality is excellent and web pages load instantly. i would highly recommend it to anyone looking for a new laptop for personal use.,5/5,video and sound quality is excellent and web pages load instantly,0.47,['']
5455,"everything worked just great. was delivered to my us imaginary address, then forwarded by our logistics company outside the us, arrived safe and sound. works so far so good-knock knock.",5/5,"was delivered to my us imaginary address, then forwarded by our logistics company outside the us, arrived safe and sound",0.3,['safe']
5456,"quality was weak, flexible in areas it should not be. mine had sound issues where if the laptop was tipped sound would go out and sound bad. also if you pushed in the middle of the keyboard or by the speakers it would go out as well. returned for refund.",1/5,mine had sound issues where if the laptop was tipped sound would go out and sound bad | also if you pushed in the middle of the keyboard or by the speakers it would go out as well,0.1,"['bad', '']"
5457,"half of what it cost about 3 years ago! great computer, comes with ms word package. big screen. great sound speakers. very happy!",5/5,great sound speakers,0.6,['']
5458,excellent chromebook. just what we were looking for. we were very pleased with the speed and sound quality.,5/5,we were very pleased with the speed and sound quality,0.53,['very pleased']
5459,speed on this latest i3 is a marked improvement over last gen... speaker sound is much improved also... i have had two older models of this lenovo chromebook this is a big step up!,5/5,speaker sound is much improved also,0.3,['much improved']
5460,though delivery took a long time and bad delivery experience the product is good. works well as advertised but sometimes the sound gets muted after using for a long time. hope its fixed in the next software update. overall a nice laptop.,4/5,works well as advertised but sometimes the sound gets muted after using for a long time,0.18,['']
5461,"speakers sound good, clear display,you can replace 2242 nvme ssd yourself if 64gb emmc not enough which did little help some system response time but not a big difference.bought at$429 and now price drop to $399 right now…..",5/5,"speakers sound good, clear display,you can replace 2242 nvme ssd yourself if 64gb emmc not enough which did little help some system response time but not a big difference",0.17,['']
5462,great little chromebook. i had an hp before. this one had some of plug-in features i like. a good battery rating is important to me. i use these for quick videos so i was disappointed at the quality of the internal mic- it is very ‘metallic’ sounding. i guess i will have to get an external mic. so far this is my only disappointment- but it is a big one for me.,4/5,i use these for quick videos so i was disappointed at the quality of the internal mic- it is very ‘metallic’ sounding,-0.05,['metallic sounding']
5463,"i mean you get what you pay for. functionally it is adequate but just barely. pretty low on ram, no touch screen, it is tiny, no disk drive, sound quality is not the greatest either",4/5,"pretty low on ram, no touch screen, it is tiny, no disk drive, sound quality is not the greatest either",0.33,['']
5464,"i got this laptop for my 8 yrs old son. he is taking classes online and it sounded as a great option. it is light, small, sound is great, microphone and camera work well. i love it. however, microsoft teams works but microsoft one note (where teachers post the homeworks and class notes) cannot open. we downloaded it and it shows as installed. we do not know if the android system needs an update or what. i really do not understand the reason why and we hope to get some support. otherwise, i will have to return it because it makes no sense.",3/5,"he is taking classes online and it sounded as a great option | it is light, small, sound is great, microphone and camera work well",0.43,"['', 'great']"
5465,"this is a durrible little chromebook and it works well. it has great battery life, the sound quality is good and it gets my kids homework done. i love it.",5/5,"it has great battery life, the sound quality is good and it gets my kids homework done",0.63,['good']
5466,"this is my second chromebook. the automatic transfer of apps, bookmarks was flawless. i view this product as disposable, since updates have a relatively limited time span. i miss the touchscreen feature on my first chromebook, but this unit was 1/2 the price. i can deal with a couple of extra keystroke combinations for that much savings. the speaker sound is not the best, but a bluetooth speaker takes care of that. battery life seems good so far. keyboard has a solid feel to it, equivalent to my laptop.",5/5,"the speaker sound is not the best, but a bluetooth speaker takes care of that",0.7,['']
5467,brought the chrome book for personal reasons and the screen quality and the sound is amazing,5/5,brought the chrome book for personal reasons and the screen quality and the sound is amazing,0.33,['amazing']
5468,"bought this for my mom for card games, internet browsing etc. does a great job and the sound is pretty good, price is even better!",5/5,"does a great job and the sound is pretty good, price is even better!",0.56,['even pretty good better']
5469,works great for the price - do not expect anything fancy. the screen is not great at all because of the viewing angles. this worked really well for a plane trip for about 5 hours and i was able to plug in my headphones and sound was loud and clear - screen not so great but it worked. one thing to note - battery life is amazing!!! i still had 60% after 2.5 movies i watched on the plane.,5/5,this worked really well for a plane trip for about 5 hours and i was able to plug in my headphones and sound was loud and clear - screen not so great but it worked,0.35,['and plug able loud']
5470,as soon as i got it i tested it for you tube... took forever to start. sound is good. picture quality is decent.,1/5,sound is good,0.55,['good']
5471,one of the speakers and the camera stopped working after a few months.,1/5,one of the speakers and the camera stopped working after a few months,-0.2,['']
5472,"battery life is great, once you are not doing to much things. i had a glitch with the mouse the first day i bought it. but i have not seen it again from that day. it is portable, nice slim laptop, not heavy, work well so far. camera quality is not so good, i think apple could have updated their camera quality, but it is fine anyways, usable. the speakers are loud and nice. nice sound quality.",5/5,the speakers are loud and nice | nice sound quality,0.42,"['and loud', '']"
5473,"the macbook air is as advertised. fast and easy to use with a long battery life. too few ports for my taste, and the keyboard is only ok. i use a logitech mouse via bluetooth, and it is responsive. one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines.",5/5,one positive surprise is that the speakers in the laptop are better than those i have used in bigger machines,0.24,['than better']
5474,price point for an apple laptop good. screen is great so are the speakers. dead easy to set up. i had my last one for 13 years hope this is the same. only negative. the new usb-c ( lightning ) does not support the apple super drive. you have to buy an adapter.,5/5,screen is great so are the speakers,0.8,['great']
5475,"this is my first laptop and i am real happy with the purchase. the speakers on this are nice and loud i love it. the size is a great size, not too big and definitely not too small, it is just right. the screen is great too love the picture quality and it gets brights. i am not super in tune with all the laptop lingo and things that matter but as a person who just bought their first laptop, definitely worth it.",5/5,the speakers on this are nice and loud i love it,0.4,['and nice']
5476,was bought as a graduation gift for my daughter. display quality and sound from the built in speakers is exceptional. she currently only uses it for netflix and youtube until college starts in a few weeks though lol.,5/5,display quality and sound from the built in speakers is exceptional,0.53,['exceptional']
5477,my first day. i have used macbooks since 2006 when the first intel processors were used. the m1 chip is amazing. i now understand why 8 gb of ram is perfect for this model. crystal clear text rendering. silky-smooth touch pad. nice tactile response on keyboard— big improvement over the troublesome keyboards of the last 7 years. speakers are lovely. very pleased. battery fully charged. was able to easily migrate from my old 2016 macbook retina 12. easy to connect with icloud and mac account. a couple of my non-apple apps required rosetta to run with m1 processor—smooth download of rosetta. anyone needing a high end camera might go for the macbook pro but this is fine for my needs.,5/5,speakers are lovely,0.5,['lovely']
5478,"the device is silent because it has no fans, the screen is not oled but it looks incredible for watching movies with vibrant colors and is very sharp making it great for text documents with small fonts. the battery life is incredibly good i can constantly get over a day with moderate to high use and yet somehow still manages to be an incredibly light device. it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop. it runs mac os which can be hard to adapt too but it is alot less power intensive than windows so you rarely have to worry about overheating or battery in daily use. if you are a professional video or photo editor or run intensive task look towards a pro computer and for everyone else this is a great choice.",5/5,"it has a good dac and plenty of volume making it a good choice for audio lovers, especially if you use open backs since it makes no noise, and if you do not use headphones the speakers can get very loud and sound really good for a laptop",0.38,['really very loud good']
5479,this is my first mac ever and it does not even compare to my asus. the speakers are very loud and the touch bar is a great addition. this is definitely a very fast and ver powerful machine,5/5,the speakers are very loud and the touch bar is a great addition,0.47,['very loud']
5480,"have been a faithful mac customer for over 30 years. sorry, not happy with this one... sticks, bogs down, and has trouble with lags when basic programs are running (office, browser, adobe reader). have to constantly restart to get things running normally, something i never had to do with previous generations of the macbook pro. will not miss the touch bar when they phase it out and only use it occasionally because it is there. another interesting thing that i have found is that the speakers are not great: just ok. note: the 256gb version gets full fast, so if you are a media person, upgrade or get another storage option.",2/5,another interesting thing that i have found is that the speakers are not great: just ok,0.2,['not great']
5481,"i never make reviews but i have to make one for this. i have had this computer since march and it is june now, and i have to say, i really, really, really love my computer. it is super fast and the speakers are loud and it is everything you could want. my only issue is that there is no usb port. when i am editing i find it very difficult to use the mousepad because i cannot be precise with my work the way i do with a mouse. i just bought an adapter today, and i hope it makes my editing much more easier. but all i can say is that i spent a lot of money upgrading my 2011 macbook pro and i decided to just buy this computer with my stimulus check and it was the best decision i have ever made.",5/5,it is super fast and the speakers are loud and it is everything you could want,0.21,['super fast loud']
5482,"i honestly wholeheartedly wake up every single day and am thankful for this laptop. i use it and serotonin floods my body. everything about it from the os, to the quirky and cool touch bar, to the rich speakers. i adore it in its entirety and i can honestly say i treat it like my child. it is one of my most prized possessions. i am in love with this computer.",5/5,"everything about it from the os, to the quirky and cool touch bar, to the rich speakers",0.24,['']
5483,"a nice, lightweight computer with beautiful screen and nice sounding audio speakers. battery life is awesome.",5/5,"a nice, lightweight computer with beautiful screen and nice sounding audio speakers",0.68,['beautiful nice audio']
5484,i had to return my macbook pro 14 - m1 pro because of a very abnormal sound that was produced when i would run certain applications. the sound was not produced by the speakers.,3/5,i had to return my macbook pro 14 - m1 pro because of a very abnormal sound that was produced when i would run certain applications | the sound was not produced by the speakers,0.3,"['', '']"
5485,"as a full-time software engineer, this is the greatest laptop i have ever owned or used. battery lasts for days, compile times are mind-blowingly fast and the speakers are actually amazing. forget all the worries about the notch and swap memory. this is the only other machine, along with an xps 15 on linux, that has actually blown away my high expectations and over-performed. highly recommended if you have the money.",5/5,"battery lasts for days, compile times are mind-blowingly fast and the speakers are actually amazing",0.4,['amazing']
5486,"super fast laptop with great battery life. lightweight with amazing screen and speakers. recommend a usb c hub, as many common ports are missing and it is not convenient to carry around multiple dongles for each external device.",5/5,lightweight with amazing screen and speakers,0.6,['']
5487,"this laptop has a superior display, superior speakers, superior camera and an excellent keyboard. do not go cheap and buy the ""affordable"" macbook air base model like some of these talking heads have been advising. it is not a good buy if you are unhappy with it after six months, and believe me, you will be unhappy with 8 gb of ram and two usb ports after six months. m1 macbooks are not upgradeable so if you find that you need more ram, you are stuck. unless all you are doing sending emails, tweets, and watching tictok, you will probably need something more, especially if you are using your laptop for work. i am using my macbook pro with an lg ultrafine 5k 27 inch display as my desktop system, which replaces a 27 inch imac. i am very happy.",5/5,"this laptop has a superior display, superior speakers, superior camera and an excellent keyboard",0.77,['']
5488,"i was on the fence replacing my late 2011 15 inch specced out (for the time) macbook pro retina. sure i almost never used the cd/dvd slot or appreciate its hefty weight or its ploddingly slow hdd. but even though this seemed like a great piece of kit, i just could not justify $2k plus tax. so when amazon decided to drop $500 off the retail price i have used my $450 in amazon gift card balance and bought this bad boy for around $1,250 with tax included. unless you are a serious power user even the base unit of this laptop is more than anyone would ever need in terms of raw power. best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check. it is faster than regular m2, better made than the air or the 13 inch model all made this purchase a no brainer. this is easily the best laptop apple has ever made. if you need a totl laptop, you have found it, if it is too pricey, save up or wait for a lightning deal, it is well worth it. greatest upgrade ever.",5/5,best screen on a laptop? check best speakers on any laptop? check best design? best made soc/software combo? check,1.0,['']
5489,"this thing is very fast and the screen quality is amazing. the 14” m1 pro is the perfect laptop for anyone who uses final cut, it is super fast exporting in prores, my 2015 would take hours, i can go to sleep and wake up to find it still exporting. this thing does the same project in minutes. the speakers sound great, i tried the 16” but i did not like it, even though it sounded better because of the larger speakers. the keyboard and larger trackpad looked off to me, the machine was great but i did not like the design of the 16”, too much empty space. the 14” keyboard and trackpad fill up most of the space and looks great, the 14” is the perfect size for all around usage. it beats all laptops out there and most desktop available.",5/5,"the speakers sound great, i tried the 16” but i did not like it, even though it sounded better because of the larger speakers",0.43,['great']
5490,the computer runs well and looks great. it seems a bit heavier and thicker than earlier models. speakers sound great for a laptop. i love that they brought back the magnetized charging cable too.,4/5,speakers sound great for a laptop,0.6,['great']
5491,"i am not a video content user, or do any heavy video editing that may tax the processor or gpu. i am more a casual user, so the full power and potential features of this laptop will never be used by me. so why would i spend a whopping $2,500 on a 16-inch laptop? two reasons, my old 2012 macbook pro has reached obsolesce and after december 2021 apple will no longer support it (no more security updates). secondly, i am heavily into the apple ecosystem. ipad, iphone, imac and i really like how all my devices work together seamlessly. also, i am an older guy (euphemism for senior citizen) and i really like and prefer a larger screen size on my laptop as opposed to portability. having got all that out of the way, let me share this, this laptop is amazing. the screen display is incredibly sharp with vivid colors. it has a comfortable keyboard with good backlighting. the very large glass track pad is very responsive, and apple's software is excellent at palm rejection, so your resting hands do not interfere when your typing. the sound output through the speakers is very, very impressive, almost unbelievable for laptop. the laptop's aluminum frame is solid. it is a big, bulky laptop, so if you are on the go and looking for a laptop to lug around everyday, i recommend you look at the 13-inch mac laptops. buying a laptop at this price range is a huge investment and i recommend that potential buyers do their due diligence and compare features and costs of both macs and windows pcs, especially if you are not in the apple ecosystem. but, if, however you want a larger 16-inch screen and a mac laptop then your choices will be the 2020 (intel) or 2021 macbook pro (m1 pro) and of the two, i recommend the m1 pro version. once i got over the sticker shock, i really am very happy with my 2021 macbook. my recommendation? two thumbs up!",5/5,"the sound output through the speakers is very, very impressive, almost unbelievable for laptop",0.38,['very impressive']
5492,the display and speakers are well worth the price tag alone and there is a whole computer included. what a machine.,5/5,the display and speakers are well worth the price tag alone and there is a whole computer included,0.25,['well worth']
5493,"i will start by saying i love the computer. i have bought macbook pros several times in the past, and this is everything i expect and more. gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016). also, the battery life is impressive. i can work all day on one charge!",3/5,"gorgeous screen, quality speakers, love that there is an sd card reader and lots of ports (unlike my 2016)",0.6,['']
